Term 1,Term 2,Term 3,Frequency,Context Frequency,Conditional Probability
creo,que,sí,2,22,0.09090909090909091
jaja,voy,>,2,2,1.0
de,los,síntomas,2,15,0.13333333333333333
de,la,serie,2,20,0.1
chi,gracias,:3,2,2,1.0
quedó,>,<,2,2,1.0
ya,quedó,>,2,6,0.3333333333333333
ejercicio,?,>,2,2,1.0
como,que,tomar,2,3,0.6666666666666666
yo,digo,que,2,2,1.0
<,no,",",2,14,0.14285714285714285
xd,?,>,2,3,0.6666666666666666
pero,es,que,2,2,1.0
<,no,jajaj,2,14,0.14285714285714285
>,<,lo,2,444,0.0045045045045045045
<,holaa,oye,2,10,0.2
>,<,jajajajaja,2,444,0.0045045045045045045
a,no,ma,2,7,0.2857142857142857
lo,de,conocer,2,24,0.08333333333333333
está,bien,xd,2,11,0.18181818181818182
foto,?,>,2,2,1.0
de,conocer,a,2,2,1.0
>,<,yo,2,444,0.0045045045045045045
que,si,lo,2,16,0.125
pues,si,",",2,11,0.18181818181818182
que,sí,>,2,3,0.6666666666666666
sí,>,<,2,2,1.0
oye,",",no,2,19,0.10526315789473684
vava,",",gracias,2,5,0.4
a,vava,jaja,2,9,0.2222222222222222
no,sé,",",2,9,0.2222222222222222
que,paso,?,2,2,1.0
es,que,lo,2,28,0.07142857142857142
pero,no,se,2,7,0.2857142857142857
que,ya,quedó,2,11,0.18181818181818182
checo,>,<,2,2,1.0
oye,oye,ya,2,12,0.16666666666666666
la,hago,yo,2,2,1.0
<,a,oye,2,69,0.028985507246376812
>,<,le,2,444,0.0045045045045045045
<,a,vavav,2,69,0.028985507246376812
a,vavav,",",2,2,1.0
están,?,>,2,2,1.0
<,jajajaj,a,2,4,0.5
no,es,cierto,2,6,0.3333333333333333
que,si,podía,2,16,0.125
jajajaj,a,bueno,2,2,1.0
<,jajajajaja,no,2,2,1.0
se,va,a,2,2,1.0
ntp,>,<,2,2,1.0
<,a,ver,2,69,0.028985507246376812
me,voy,>,2,4,0.5
es,que,creo,2,28,0.07142857142857142
que,creo,que,2,2,1.0
eso,jajaja,>,2,2,1.0
creo,que,solo,2,22,0.09090909090909091
a,>,<,2,2,1.0
lo,voy,a,2,2,1.0
ser,lo,de,2,3,0.6666666666666666
preguntan,>,<,2,2,1.0
con,eso,>,2,3,0.6666666666666666
entonces,no,se,2,2,1.0
te,vas,a,2,3,0.6666666666666666
si,es,en,2,6,0.3333333333333333
equipo,>,<,2,2,1.0
:3,oye,te,2,5,0.4
lo,que,hicimos,2,29,0.06896551724137931
yap,>,<,2,2,1.0
es,este,>,2,2,1.0
este,>,<,2,2,1.0
>,<,para,2,444,0.0045045045045045045
porque,lo,de,2,3,0.6666666666666666
que,es,el,2,6,0.3333333333333333
que,voy,a,2,2,1.0
si,es,que,2,6,0.3333333333333333
la,maestra,que,2,3,0.6666666666666666
es,que,ahorita,2,28,0.07142857142857142
que,ahorita,ya,2,4,0.5
yo,>,<,2,2,1.0
de,los,2,2,15,0.13333333333333333
de,la,covarianza,2,20,0.1
según,lo,que,2,2,1.0
>,<,en,2,444,0.0045045045045045045
10,>,<,2,2,1.0
<,o,jajajaja,2,8,0.25
vava,gracias,>,2,3,0.6666666666666666
que,si,esta,2,16,0.125
si,esta,bien,2,2,1.0
",",lo,de,2,3,0.6666666666666666
a,sip,",",2,7,0.2857142857142857
<,ya,quedó,2,7,0.2857142857142857
nada,",",solo,2,2,1.0
lo,mismo,pero,2,3,0.6666666666666666
bien,jajaja,>,2,2,1.0
si,este,bien,2,2,1.0
oye,irving,me,2,6,0.3333333333333333
irving,me,pasas,2,2,1.0
porfa,jajaja,>,2,2,1.0
<,gracias,☺,2,7,0.2857142857142857
gracias,☺,️,2,2,1.0
sip,voy,>,2,2,1.0
>,<,rayos,2,444,0.0045045045045045045
rayos,",",bueno,2,3,0.6666666666666666
jaja,",",si,2,4,0.5
hola,",",sip,2,3,0.6666666666666666
ahorita,te,lo,2,5,0.4
<,holaa,:3,2,10,0.2
a,ya,jaja,2,3,0.6666666666666666
ya,jaja,bueno,2,3,0.6666666666666666
>,<,por,2,444,0.0045045045045045045
<,por,cierto,2,2,1.0
por,cierto,",",2,3,0.6666666666666666
",",está,bien,2,2,1.0
que,si,quieres,2,16,0.125
de,datos,y,2,5,0.4
datos,y,la,2,2,1.0
y,la,metieras,2,3,0.6666666666666666
la,metieras,en,2,2,1.0
<,y,también,2,11,0.18181818181818182
6,>,<,2,2,1.0
>,<,mira,2,444,0.0045045045045045045
",",según,yo,2,2,1.0
la,conclusión,>,2,3,0.6666666666666666
conclusión,>,<,2,2,1.0
<,chi,",",2,4,0.5
que,teníamos,que,2,2,1.0
a,jajaja,a,2,10,0.2
jajaja,a,bueno,2,2,1.0
a,bueno,xd,2,10,0.2
si,se,lo,2,7,0.2857142857142857
si,",",si,2,15,0.13333333333333333
",",si,se,2,14,0.14285714285714285
:,>,<,2,2,1.0
de,análisis,de,2,2,1.0
análisis,de,datos,2,2,1.0
ya,solo,lo,2,2,1.0
jajaja,si,",",2,3,0.6666666666666666
a,bueno,",",2,10,0.2
oye,",",ya,2,19,0.10526315789473684
a,lo,de,2,2,1.0
ya,se,fue,2,2,1.0
<,si,jajaja,2,23,0.08695652173913043
si,jajaja,>,2,3,0.6666666666666666
<,a,jaja,2,69,0.028985507246376812
rápido,>,<,2,2,1.0
mañana,no,es,2,2,1.0
no,es,necesario,2,6,0.3333333333333333
no,ando,en,2,2,1.0
ando,en,mi,2,2,1.0
en,mi,casa,2,3,0.6666666666666666
mi,casa,jaja,2,3,0.6666666666666666
mira,>,<,2,2,1.0
es,que,le,2,28,0.07142857142857142
no,?,>,2,4,0.5
bueno,",",es,2,4,0.5
ya,>,<,2,2,1.0
web,?,>,2,2,1.0
<,si,quieres,2,23,0.08695652173913043
<,vava,:3,2,4,0.5
<,oye,entonces,2,35,0.05714285714285714
oye,entonces,si,2,2,1.0
y,dijo,que,2,2,1.0
mañana,te,la,2,2,1.0
de,nada,jaja,2,22,0.09090909090909091
nada,jaja,>,2,2,1.0
lo,quieres,ver,2,5,0.4
>,<,nos,2,444,0.0045045045045045045
salón,>,<,2,2,1.0
oye,",",me,2,19,0.10526315789473684
",",me,pasas,2,3,0.6666666666666666
la,foto,de,2,4,0.5
oye,",",si,2,19,0.10526315789473684
vas,a,ir,2,5,0.4
a,ir,mañana,2,6,0.3333333333333333
vamos,a,ir,2,5,0.4
jajaja,va,>,2,3,0.6666666666666666
a,no,má,2,7,0.2857142857142857
jajaja,pensé,que,2,2,1.0
es,que,según,2,28,0.07142857142857142
si,yo,creo,2,2,1.0
>,<,dónde,2,444,0.0045045045045045045
dónde,andas,?,2,2,1.0
andas,?,>,2,2,1.0
",",oye,ya,2,7,0.2857142857142857
está,bien,>,2,11,0.18181818181818182
