Term 1,Term 2,Term 3,Frequency,Context Frequency,Conditional Probability
>,<,jajajjaj,3,1565,0.0019169329073482429
>,<,este,3,1565,0.0019169329073482429
>,<,ahi,3,1565,0.0019169329073482429
>,<,u.u,3,1565,0.0019169329073482429
<,yo,>,3,18,0.16666666666666666
<,de,nada,3,23,0.13043478260869565
no,?,>,3,3,1.0
<,u.u,>,3,3,1.0
vdd,?,>,3,3,1.0
pero,no,soñe,3,19,0.15789473684210525
<,nooo,>,3,4,0.75
<,uy,no,3,3,1.0
>,<,porque,3,1565,0.0019169329073482429
ok,>,<,3,3,1.0
<,espero,q,3,4,0.75
avr,>,<,3,3,1.0
<,si,te,3,99,0.030303030303030304
jajajajj,>,<,3,3,1.0
>,<,jajajajj,3,1565,0.0019169329073482429
<,no,te,3,77,0.03896103896103896
o.o,>,<,3,3,1.0
jajajajaja,>,<,3,3,1.0
kreo,>,<,3,3,1.0
<,jajajajj,>,3,3,1.0
kiero,>,<,3,3,1.0
omggg,>,<,3,3,1.0
>,<,tabn,3,1565,0.0019169329073482429
hay,?,>,2,2,1.0
dice,>,<,2,2,1.0
creo,>,<,2,2,1.0
oraaa,>,<,2,2,1.0
<,pero,me,2,57,0.03508771929824561
yo,creo,q,2,2,1.0
🧒,>,<,2,2,1.0
<,🧒,>,2,2,1.0
<,oraaa,>,2,2,1.0
<,pero,x,2,57,0.03508771929824561
pero,x,eso,2,2,1.0
entiendo,>,<,2,2,1.0
año,>,<,2,2,1.0
<,ya,estamos,2,64,0.03125
>,<,🧒,2,1565,0.0012779552715654952
komo,>,<,2,2,1.0
<,pero,tmb,2,57,0.03508771929824561
💋,>,<,2,2,1.0
💋,💋,>,2,2,1.0
¿,>,<,2,2,1.0
sign,>,<,2,2,1.0
sola,>,<,2,2,1.0
<,💋,💋,2,2,1.0
>,<,komo,2,1565,0.0012779552715654952
<,komo,>,2,2,1.0
>,<,💋,2,1565,0.0012779552715654952
<,q,>,2,26,0.07692307692307693
<,ya,nada,2,64,0.03125
>,<,oraaa,2,1565,0.0012779552715654952
>,<,eh,2,1565,0.0012779552715654952
<,me,puedes,2,31,0.06451612903225806
lo,de,los,2,5,0.4
>,<,ontan,2,1565,0.0012779552715654952
no,me,acuerdo,2,8,0.25
q,mal,>,2,2,1.0
>,<,ando,2,1565,0.0012779552715654952
<,es,🍐,2,39,0.05128205128205128
es,que,si,2,6,0.3333333333333333
o,como,?,2,2,1.0
bien,y,tu,2,4,0.5
algo,?,>,2,2,1.0
vale,vale,>,2,3,0.6666666666666666
como,?,>,2,2,1.0
las,cosas,>,2,2,1.0
cosas,>,<,2,2,1.0
oye,>,<,2,2,1.0
<,me,haces,2,31,0.06451612903225806
puelo,>,<,2,2,1.0
no,puelo,>,2,2,1.0
>,<,ah,2,1565,0.0012779552715654952
me,acuerdo,>,2,2,1.0
acuerdo,>,<,2,2,1.0
<,q,es,2,26,0.07692307692307693
<,no,lo,2,77,0.025974025974025976
o,q,>,2,2,1.0
eii,>,<,2,2,1.0
<,eii,>,2,3,0.6666666666666666
master,>,<,2,2,1.0
del,año,>,2,2,1.0
:(,>,<,2,2,1.0
>,<,ja,2,1565,0.0012779552715654952
to,bien,>,2,3,0.6666666666666666
meh,>,<,2,2,1.0
>,<,oki,2,1565,0.0012779552715654952
<,pero,yo,2,57,0.03508771929824561
>,<,kien,2,1565,0.0012779552715654952
perdone,>,<,2,2,1.0
no,cierto,>,2,2,1.0
entendi,>,<,2,2,1.0
chica,>,<,2,2,1.0
<,que,bueno,2,18,0.1111111111111111
>,<,cual,2,1565,0.0012779552715654952
<,vdd,q,2,2,1.0
corre,>,<,2,2,1.0
acepto,>,<,2,2,1.0
>,<,jajajqj,2,1565,0.0012779552715654952
esta,?,>,2,2,1.0
<,ya,te,2,64,0.03125
<,pero,si,2,57,0.03508771929824561
<,pq,no,2,17,0.11764705882352941
di,k,si,2,2,1.0
k,si,>,2,2,1.0
es,🍐,>,2,2,1.0
<,no,los,2,77,0.025974025974025976
tanto,>,<,2,2,1.0
>,<,fue,2,1565,0.0012779552715654952
>,<,noooo,2,1565,0.0012779552715654952
<,noooo,>,2,2,1.0
no,tanto,>,2,2,1.0
noooo,>,<,2,2,1.0
pero,no,tanto,2,19,0.10526315789473684
<,aca,igual,2,4,0.5
<,jajajqj,>,2,2,1.0
anda,di,k,2,2,1.0
jajajqj,>,<,2,2,1.0
vida,real,>,2,2,1.0
>,<,vdd,2,1565,0.0012779552715654952
si,jajaj,>,2,2,1.0
>,<,tmb,2,1565,0.0012779552715654952
tengo,>,<,2,2,1.0
sepa,>,<,2,2,1.0
<,sepa,>,2,2,1.0
>,<,sepa,2,1565,0.0012779552715654952
la,vida,real,2,7,0.2857142857142857
<,anda,di,2,3,0.6666666666666666
<,tabn,>,2,3,0.6666666666666666
en,la,vida,2,12,0.16666666666666666
tabn,>,<,2,2,1.0
jigumis,>,<,2,2,1.0
q,bueno,>,2,2,1.0
<,q,bueno,2,26,0.07692307692307693
>,<,eres,2,1565,0.0012779552715654952
asi,q,si,2,5,0.4
nemonemo,?,>,2,2,1.0
xfa,>,<,2,2,1.0
estoy,en,mi,2,5,0.4
de,hecho,creo,2,7,0.2857142857142857
mejor,mañana,>,2,2,1.0
hecho,creo,q,2,2,1.0
joven,>,<,2,2,1.0
<,bien,",",2,4,0.5
me,acorde,de,2,3,0.6666666666666666
baemon,>,<,2,2,1.0
>,<,joder,2,1565,0.0012779552715654952
>,<,naaa,2,1565,0.0012779552715654952
bp,>,<,2,2,1.0
<,pero,esta,2,57,0.03508771929824561
<,en,la,2,5,0.4
q,no,se,2,7,0.2857142857142857
4,>,<,2,2,1.0
<,ya,escuchaste,2,64,0.03125
se,ve,sp,2,4,0.5
q,no,>,2,7,0.2857142857142857
<,naaa,>,2,2,1.0
>,<,cuando,2,1565,0.0012779552715654952
si,te,dije,2,3,0.6666666666666666
<,vale,>,2,7,0.2857142857142857
mucho,>,<,2,2,1.0
<,ok,>,2,5,0.4
>,<,busca,2,1565,0.0012779552715654952
bro,>,<,2,2,1.0
fuersa,bro,>,2,2,1.0
<,fuersa,bro,2,3,0.6666666666666666
horror,>,<,2,2,1.0
naaa,>,<,2,2,1.0
q,horror,>,2,2,1.0
<,q,horror,2,26,0.07692307692307693
te,dije,q,2,4,0.5
muy,buena,>,2,2,1.0
de,tarea,>,2,2,1.0
un,bn,de,2,2,1.0
la,otra,semana,2,3,0.6666666666666666
<,no,puelo,2,77,0.025974025974025976
cambie,>,<,2,2,1.0
🍐,>,<,2,2,1.0
<,pero,algo,2,57,0.03508771929824561
<,go,>,2,3,0.6666666666666666
sacaaaaa,>,<,2,2,1.0
<,sacaaaaa,>,2,2,1.0
>,<,sacaaaaa,2,1565,0.0012779552715654952
<,lol,q,2,4,0.5
<,es,mi,2,39,0.05128205128205128
<,ya,se,2,64,0.03125
sueño,>,<,2,2,1.0
tengo,sueño,>,2,2,1.0
<,no,kiero,2,77,0.025974025974025976
no,kiero,>,2,3,0.6666666666666666
>,<,al,2,1565,0.0012779552715654952
>,<,roblox,2,1565,0.0012779552715654952
acabe,>,<,2,2,1.0
>,<,estoy,2,1565,0.0012779552715654952
jajajajajj,>,<,2,2,1.0
<,jajajajajj,>,2,2,1.0
>,<,jajajajajj,2,1565,0.0012779552715654952
tengo,q,estudiar,2,2,1.0
<,se,ve,2,7,0.2857142857142857
>,<,aaa,2,1565,0.0012779552715654952
go,>,<,2,2,1.0
feo,>,<,2,2,1.0
dame,>,<,2,2,1.0
<,siii,",",2,31,0.06451612903225806
<,voy,a,2,3,0.6666666666666666
es,vdd,>,2,2,1.0
en,el,roblo,2,6,0.3333333333333333
<,y,me,2,38,0.05263157894736842
y,me,muero,2,3,0.6666666666666666
yo,de,la,2,2,1.0
ekis,>,<,2,2,1.0
<,ekis,>,2,2,1.0
>,<,ekis,2,1565,0.0012779552715654952
siii,",",esta,2,2,1.0
<,dame,>,2,3,0.6666666666666666
",",esta,bn,2,2,1.0
dias,>,<,2,2,1.0
buenos,dias,>,2,3,0.6666666666666666
azucar,>,<,2,2,1.0
cajeta,>,<,2,2,1.0
ei,>,<,2,2,1.0
<,ei,>,2,2,1.0
>,<,ei,2,1565,0.0012779552715654952
mas,>,<,2,2,1.0
>,<,siento,2,1565,0.0012779552715654952
<,q,tal,2,26,0.07692307692307693
<,siento,q,2,2,1.0
perdono,>,<,2,2,1.0
>,<,bn,2,1565,0.0012779552715654952
pq,dices,eso,2,2,1.0
bn,pero,no,2,2,1.0
ella,>,<,2,2,1.0
<,tt,>,2,2,1.0
>,<,tt,2,1565,0.0012779552715654952
22,>,<,2,2,1.0
<,te,perdono,2,11,0.18181818181818182
te,perdono,>,2,2,1.0
<,es,el,2,39,0.05128205128205128
uy,no,",",2,3,0.6666666666666666
>,<,hasta,2,1565,0.0012779552715654952
<,a,siii,2,29,0.06896551724137931
a,siii,>,2,2,1.0
si,vi,>,2,2,1.0
?,o.o,>,2,2,1.0
>,<,jajajajja,2,1565,0.0012779552715654952
<,jajajajja,>,2,2,1.0
jajajajja,>,<,2,2,1.0
essss,>,<,2,2,1.0
xdd,>,<,2,2,1.0
jugar,>,<,2,2,1.0
siento,q,no,2,4,0.5
combi,>,<,2,2,1.0
siiii,tt,>,2,2,1.0
<,siiii,tt,2,9,0.2222222222222222
<,el,mas,2,11,0.18181818181818182
de,vdd,?,2,3,0.6666666666666666
<,de,vdd,2,23,0.08695652173913043
la,vda,>,2,3,0.6666666666666666
>,<,yap,2,1565,0.0012779552715654952
<,yap,>,2,2,1.0
yap,>,<,2,2,1.0
noooombre,>,<,2,2,1.0
<,la,vdd,2,9,0.2222222222222222
<,noooombre,>,2,2,1.0
>,<,noooombre,2,1565,0.0012779552715654952
mimir,>,<,2,2,1.0
non,>,<,2,2,1.0
<,non,>,2,2,1.0
>,<,non,2,1565,0.0012779552715654952
momento,>,<,2,2,1.0
me,da,miedo,2,4,0.5
pero,me,da,2,4,0.5
orita,>,<,2,2,1.0
>,<,kisiese,2,1565,0.0012779552715654952
<,kisiese,>,2,2,1.0
lo,cambie,>,2,2,1.0
nomas,>,<,2,2,1.0
semana,>,<,2,2,1.0
mmm,>,<,2,2,1.0
<,mmm,>,2,5,0.4
>,<,ey,2,1565,0.0012779552715654952
canon,>,<,2,2,1.0
>,<,nos,2,1565,0.0012779552715654952
cacheteo,>,<,2,2,1.0
>,<,akiora,2,1565,0.0012779552715654952
ya,lo,cambie,2,4,0.5
<,pq,tengo,2,17,0.11764705882352941
<,aun,no,2,4,0.5
adios,>,<,2,2,1.0
<,adios,>,2,2,1.0
>,<,adios,2,1565,0.0012779552715654952
<,grasias,chika,2,12,0.16666666666666666
dormire,>,<,2,2,1.0
ya,dormire,>,2,2,1.0
<,ya,dormire,2,64,0.03125
cansaa,>,<,2,2,1.0
<,esta,semana,2,9,0.2222222222222222
no,seee,>,2,3,0.6666666666666666
>,<,sigo,2,1565,0.0012779552715654952
>,<,jajajajajajaja,2,1565,0.0012779552715654952
>,<,lastima,2,1565,0.0012779552715654952
provechito,>,<,2,2,1.0
<,provechito,>,2,2,1.0
>,<,provechito,2,1565,0.0012779552715654952
>,<,okok,2,1565,0.0012779552715654952
<,me,acorde,2,31,0.06451612903225806
noo,>,<,2,2,1.0
<,noo,>,2,2,1.0
>,<,noo,2,1565,0.0012779552715654952
jajajajajaj,>,<,2,2,1.0
para,mañana,>,2,2,1.0
<,jajajajajaj,>,2,2,1.0
>,<,jajajajajaj,2,1565,0.0012779552715654952
<,ya,toy,2,64,0.03125
jajajj,>,<,2,2,1.0
<,jajajj,>,2,2,1.0
>,<,jajajj,2,1565,0.0012779552715654952
>,<,frey,2,1565,0.0012779552715654952
si,jajajaj,>,2,2,1.0
<,lastima,q,2,2,1.0
toy,cansaa,>,2,2,1.0
onta,?,>,2,2,1.0
kisiese,>,<,2,2,1.0
un,monton,>,2,3,0.6666666666666666
a,mi,me,2,5,0.4
miedo,>,<,2,2,1.0
boomer,>,<,2,2,1.0
<,boomer,>,2,2,1.0
>,<,boomer,2,1565,0.0012779552715654952
tengo,un,monton,2,3,0.6666666666666666
a,esa,hora,2,2,1.0
esa,hora,>,2,2,1.0
monton,>,<,2,2,1.0
tal,>,<,2,2,1.0
>,<,sobre,2,1565,0.0012779552715654952
q,tal,>,2,7,0.2857142857142857
<,esta,muy,2,9,0.2222222222222222
<,mimi,bn,2,3,0.6666666666666666
fue,>,<,2,2,1.0
que,fue,>,2,3,0.6666666666666666
<,que,fue,2,18,0.1111111111111111
>,<,orita,2,1565,0.0012779552715654952
voy,>,<,2,2,1.0
tu,q,tal,2,2,1.0
eso,?,>,2,2,1.0
<,jajajaj,kien,2,46,0.043478260869565216
>,<,por,2,1565,0.0012779552715654952
>,<,deberian,2,1565,0.0012779552715654952
botate,>,<,2,2,1.0
a,si,a,2,3,0.6666666666666666
<,a,si,2,29,0.06896551724137931
empiezan,>,<,2,2,1.0
<,y,q,2,38,0.05263157894736842
<,jajjaja,>,2,2,1.0
>,<,jajjaja,2,1565,0.0012779552715654952
<,ahorita,ya,2,2,1.0
>,<,ahorita,2,1565,0.0012779552715654952
<,ayuda,>,2,3,0.6666666666666666
jajajaj,kien,sabeee,2,2,1.0
ayuda,>,<,2,2,1.0
bien,y,a,2,4,0.5
<,bien,y,2,4,0.5
no,puedo,>,2,2,1.0
puedo,>,<,2,2,1.0
<,gracias,a,2,15,0.13333333333333333
yo,tmb,>,2,2,1.0
<,yo,tmb,2,18,0.1111111111111111
<,me,recordaste,2,31,0.06451612903225806
me,haces,un,2,2,1.0
