Term 1,Term 2,Term 3,Frequency of Trigram,"Frequency of Context (Term 1, Term 2)",Conditional Probability
a,sip,",",2,7,0.2857142857142857
en,mi,casa,2,3,0.6666666666666666
no,ando,en,2,2,1.0
<,este,>,2,2,1.0
<,a,oye,2,69,0.028985507246376812
chi,gracias,:3,2,2,1.0
te,vas,a,2,3,0.6666666666666666
<,pero,no,2,11,0.18181818181818182
la,maestra,que,2,3,0.6666666666666666
si,es,que,2,6,0.3333333333333333
no,sé,",",2,9,0.2222222222222222
que,voy,a,2,2,1.0
<,mmmm,pues,2,3,0.6666666666666666
que,es,el,2,6,0.3333333333333333
<,de,lo,2,9,0.2222222222222222
de,la,serie,2,20,0.1
porque,lo,de,2,3,0.6666666666666666
pero,no,se,2,7,0.2857142857142857
y,dijo,que,2,2,1.0
de,la,carrera,2,20,0.1
ser,lo,de,2,3,0.6666666666666666
podría,ser,lo,2,2,1.0
de,la,covarianza,2,20,0.1
oye,entonces,si,2,2,1.0
no,es,necesario,2,6,0.3333333333333333
mañana,no,es,2,2,1.0
creo,que,sí,2,21,0.09523809523809523
que,si,podía,2,15,0.13333333333333333
de,los,2,2,15,0.13333333333333333
<,a,jaja,2,69,0.028985507246376812
si,jajaja,>,2,3,0.6666666666666666
<,si,jajaja,2,28,0.07142857142857142
no,es,cierto,2,6,0.3333333333333333
<,ya,>,2,9,0.2222222222222222
<,jajajajaja,no,2,2,1.0
<,vava,:3,2,4,0.5
jaja,voy,>,2,2,1.0
es,que,ahorita,2,29,0.06896551724137931
<,oye,entonces,2,36,0.05555555555555555
jajaja,si,",",2,3,0.6666666666666666
<,voy,>,2,3,0.6666666666666666
<,en,qué,2,3,0.6666666666666666
<,vavava,>,2,3,0.6666666666666666
gracias,☺,️,2,2,1.0
si,se,lo,2,7,0.2857142857142857
sip,voy,>,2,2,1.0
<,no,jajaj,2,15,0.13333333333333333
hola,",",sip,2,3,0.6666666666666666
que,lo,que,2,7,0.2857142857142857
<,no,",",2,15,0.13333333333333333
fue,?,>,2,2,1.0
si,yo,creo,2,2,1.0
se,va,a,2,2,1.0
de,conocer,a,2,2,1.0
lo,de,conocer,2,24,0.08333333333333333
jaja,",",si,2,4,0.5
creo,que,lo,2,21,0.09523809523809523
es,que,lo,2,29,0.06896551724137931
por,cierto,",",2,3,0.6666666666666666
con,eso,>,2,3,0.6666666666666666
a,jajaja,a,2,10,0.2
<,jajajaj,a,2,5,0.4
jajajaj,a,bueno,2,2,1.0
me,voy,>,2,4,0.5
que,teníamos,que,2,2,1.0
si,",",si,2,15,0.13333333333333333
",",si,se,2,14,0.14285714285714285
<,holaa,oye,2,10,0.2
jajaja,a,bueno,2,2,1.0
lo,voy,a,2,2,1.0
ya,solo,lo,2,2,1.0
de,análisis,de,2,2,1.0
<,por,cierto,2,2,1.0
<,gracias,☺,2,14,0.14285714285714285
bueno,",",es,2,4,0.5
ahorita,te,lo,2,4,0.5
que,creo,que,2,2,1.0
rayos,",",bueno,2,3,0.6666666666666666
oye,irving,me,2,6,0.3333333333333333
irving,me,pasas,2,2,1.0
andas,?,>,2,2,1.0
dónde,andas,?,2,2,1.0
es,que,según,2,29,0.06896551724137931
<,que,si,2,6,0.3333333333333333
que,si,quieres,2,15,0.13333333333333333
paso,?,>,2,2,1.0
que,paso,?,2,2,1.0
<,a,vavava,2,69,0.028985507246376812
eso,jajaja,>,2,2,1.0
foto,?,>,2,2,1.0
creo,que,solo,2,21,0.09523809523809523
es,que,creo,2,29,0.06896551724137931
ya,jaja,bueno,2,3,0.6666666666666666
<,jajajaja,>,2,8,0.25
porfa,jajaja,>,2,2,1.0
a,bueno,xd,2,10,0.2
",",bueno,>,2,4,0.5
<,holaa,:3,2,10,0.2
web,?,>,2,2,1.0
análisis,de,datos,2,2,1.0
a,ya,jaja,2,3,0.6666666666666666
oye,oye,ya,2,12,0.16666666666666666
si,quieres,",",2,16,0.125
autores,jajaj,>,1,1,1.0
sip,entonces,ahorita,1,1,1.0
los,autores,jajaj,1,4,0.25
vava,sip,entonces,1,2,0.5
para,solo,poner,1,1,1.0
oye,oye,estaba,1,12,0.08333333333333333
solo,poner,los,1,1,1.0
pasas,el,número,1,4,0.25
tu,para,solo,1,1,1.0
redactaste,tu,para,1,1,1.0
jajaja,pero,sí,1,4,0.25
pero,sí,",",1,1,1.0
sí,",",si,1,1,1.0
",",si,sería,1,14,0.07142857142857142
si,sería,eso,1,2,0.5
sería,eso,>,1,1,1.0
<,porque,lo,1,5,0.2
porque,lo,resumí,1,3,0.3333333333333333
lo,resumí,y,1,1,1.0
resumí,y,lo,1,1,1.0
y,lo,metí,1,3,0.3333333333333333
oye,estaba,checando,1,1,1.0
metí,con,lo,1,1,1.0
lo,que,redactaste,1,29,0.034482758620689655
que,redactaste,tu,1,1,1.0
lo,metí,con,1,1,1.0
que,quitarlo,jaja,1,1,1.0
jajaja,bueno,xd,1,3,0.3333333333333333
entonces,ahorita,los,1,1,1.0
y,pues,lo,1,5,0.2
pues,lo,del,1,1,1.0
<,nada,mas,1,1,1.0
lo,del,otro,1,7,0.14285714285714285
otro,equipo,>,1,1,1.0
del,otro,apartado,1,1,1.0
el,otro,equipo,1,2,0.5
pasa,el,otro,1,1,1.0
otro,apartado,podría,1,1,1.0
apartado,podría,ser,1,1,1.0
no,pasa,el,1,1,1.0
aún,no,pasa,1,2,0.5
",",aún,no,1,1,1.0
ven,",",aún,1,1,1.0
quieres,ven,",",1,1,1.0
si,quieres,ven,1,16,0.0625
<,no,>,1,15,0.06666666666666667
de,las,técnicas,1,10,0.1
las,técnicas,de,1,1,1.0
nada,mas,entra,1,2,0.5
<,y,pues,1,12,0.08333333333333333
comprarlo,xd,>,1,1,1.0
hay,que,quitarlo,1,3,0.3333333333333333
ahorita,los,checo,1,2,0.5
los,checo,>,1,1,1.0
a,si,mejor,1,5,0.2
<,jajaja,bueno,1,20,0.05
si,mejor,si,1,2,0.5
entra,rápido,>,1,1,1.0
mejor,si,hay,1,2,0.5
si,hay,que,1,1,1.0
estaba,checando,y,1,2,0.5
como,comprarlo,xd,1,1,1.0
quitarlo,jaja,porque,1,1,1.0
jaja,porque,pues,1,2,0.5
mas,entra,rápido,1,1,1.0
porque,pues,>,1,2,0.5
si,",",no,1,15,0.06666666666666667
",",no,hay,1,7,0.14285714285714285
no,hay,como,1,1,1.0
hay,como,comprarlo,1,1,1.0
combinar,jajaja,pero,1,1,1.0
eso,podemos,usar,1,1,1.0
checando,y,creo,1,1,1.0
justamente,eso,como,1,1,1.0
audiencia,y,la,1,1,1.0
tu,audiencia,y,1,1,1.0
que,tomar,eso,1,2,0.5
a,tu,audiencia,1,2,0.5
conocer,a,tu,1,2,0.5
tomar,eso,por,1,1,1.0
eso,por,lo,1,1,1.0
por,lo,de,1,3,0.3333333333333333
los,síntomas,que,1,2,0.5
síntomas,que,te,1,1,1.0
que,te,digo,1,7,0.14285714285714285
te,digo,que,1,3,0.3333333333333333
digo,que,ya,1,2,0.5
ya,no,lo,1,4,0.25
no,lo,pusimos,1,4,0.25
lo,pusimos,pero,1,1,1.0
pusimos,pero,pues,1,1,1.0
pues,si,para,1,8,0.125
si,para,explicarlo,1,1,1.0
para,explicarlo,y,1,2,0.5
explicarlo,y,ya,1,1,1.0
eso,como,que,1,1,1.0
y,la,interacción,1,3,0.3333333333333333
y,creo,que,1,1,1.0
sip,justamente,eso,1,1,1.0
pues,ya,con,1,4,0.25
ya,con,eso,1,3,0.3333333333333333
<,yo,ando,1,2,0.5
yo,ando,viendo,1,1,1.0
