Term 1,Term 2,Term 3,Frequency of Trigram,"Frequency of Context (Term 1, Term 2)",Conditional Probability
para,que,le,1,6,0.16666666666666666
que,le,funcionará,1,5,0.2
le,funcionará,el,1,1,1.0
funcionará,el,programa,1,1,1.0
el,programa,2,1,1,1.0
programa,2,",",1,1,1.0
2,",",pero,1,1,1.0
",",pero,aún,1,19,0.05263157894736842
pero,aún,no,1,1,1.0
que,programo,dieguito,1,1,1.0
del,codigo,que,1,1,1.0
jajaja,rayos,",",1,1,1.0
:,el,rendimiento,1,1,1.0
creo,que,me,1,21,0.047619047619047616
que,me,espero,1,3,0.3333333333333333
me,espero,al,1,1,1.0
espero,al,15,1,1,1.0
al,15,y,1,1,1.0
15,y,ya,1,1,1.0
y,ya,me,1,11,0.09090909090909091
no,jaja,no,1,6,0.16666666666666666
jaja,no,ha,1,1,1.0
no,ha,llegado,1,1,1.0
ha,llegado,>,1,1,1.0
<,dependiente,>,1,1,1.0
<,:,el,1,1,1.0
el,rendimiento,académico,1,1,1.0
resolver,por,simplex,1,1,1.0
rendimiento,académico,del,1,1,1.0
académico,del,estudiante,1,1,1.0
del,estudiante,universitario,1,1,1.0
estudiante,universitario, ,1,1,1.0
universitario, ,>,1,1,1.0
<,mmm,pues,1,1,1.0
mmm,pues,es,1,1,1.0
creo,que,dice,1,21,0.047619047619047616
que,dice,que,1,3,0.3333333333333333
dice,que,se,1,2,0.5
que,se,tiene,1,4,0.25
se,tiene,que,1,1,1.0
tiene,que,resolver,1,1,1.0
jajaja,yo,creo,1,1,1.0
quedar,jajaja,yo,1,1,1.0
a,quedar,jajaja,1,3,0.3333333333333333
va,a,quedar,1,5,0.2
modelo,matemático,?,1,1,1.0
matemático,?,>,1,1,1.0
que,no,se,1,14,0.07142857142857142
se,si,la,1,5,0.2
si,la,de,1,3,0.3333333333333333
la,de,x2,1,5,0.2
de,x2,>,1,1,1.0
x2,>,=,1,1,1.0
>,=,x1,1,1,1.0
=,x1,si,1,1,1.0
x1,si,la,1,1,1.0
si,la,debo,1,3,0.3333333333333333
la,debo,de,1,1,1.0
debo,de,poner,1,1,1.0
de,poner,o,1,1,1.0
poner,o,no,1,1,1.0
bueno,jaja,>,1,3,0.3333333333333333
bueno,",",si,1,4,0.25
",",si,ahorita,1,14,0.07142857142857142
si,ahorita,te,1,1,1.0
ahorita,te,aviso,1,4,0.25
te,aviso,>,1,1,1.0
<,ernesto,dice,1,1,1.0
ernesto,dice,que,1,1,1.0
dice,que,él,1,2,0.5
que,él,se,1,1,1.0
él,se,va,1,1,1.0
que,resolver,por,1,1,1.0
por,simplex,y,1,1,1.0
foto,del,codigo,1,1,1.0
sip,deja,lo,1,1,1.0
pues,está,bien,1,1,1.0
bien,",",no,1,5,0.2
",",no,necesitas,1,7,0.14285714285714285
no,necesitas,las,1,1,1.0
necesitas,las,artificiales,1,1,1.0
las,artificiales,a,1,1,1.0
artificiales,a,fuerzas,1,1,1.0
a,fuerzas,>,1,1,1.0
que,solo,la,1,2,0.5
solo,la,a,1,1,1.0
la,a,>,1,1,1.0
hola,jaja,sip,1,3,0.3333333333333333
jaja,sip,deja,1,3,0.3333333333333333
deja,lo,checo,1,1,1.0
simplex,y,también,1,1,1.0
lo,checo,>,1,2,0.5
<,ya,quedaron,1,9,0.1111111111111111
ya,quedaron,>,1,1,1.0
<,todo,el,1,1,1.0
todo,el,reporte,1,2,0.5
el,reporte,?,1,1,1.0
reporte,?,>,1,1,1.0
<,#,calcular,1,1,1.0
#,calcular,sumas,1,1,1.0
calcular,sumas,>,1,1,1.0
<,https://colab.research.google.com/drive/15v-lrvmxxqewwg7s_x6wbpzlirpvrr47?usp=sharing,>,1,1,1.0
holaa,oye,me,1,2,0.5
la,foto,del,1,4,0.25
esas,pues,está,1,1,1.0
con,esas,pues,1,1,1.0
solo,con,esas,1,1,1.0
resuelve,solo,con,1,1,1.0
y,también,por,1,3,0.3333333333333333
también,por,excel,1,1,1.0
por,excel,",",1,1,1.0
excel,",",pero,1,1,1.0
",",pero,según,1,19,0.05263157894736842
pero,según,lo,1,2,0.5
lo,que,entiendo,1,29,0.034482758620689655
que,entiendo,todo,1,1,1.0
entiendo,todo,es,1,1,1.0
todo,es,como,1,1,1.0
es,como,a,1,2,0.5
como,a,computadora,1,1,1.0
a,computadora,entonces,1,1,1.0
computadora,entonces,no,1,1,1.0
no,se,cómo,1,11,0.09090909090909091
se,cómo,se,1,1,1.0
cómo,se,pondría,1,1,1.0
se,pondría,eso,1,1,1.0
pondría,eso,jajaja,1,1,1.0
sip,jaja,>,1,5,0.2
a,no,",",1,7,0.14285714285714285
no,",",si,1,3,0.3333333333333333
",",si,tú,1,14,0.07142857142857142
si,tú,problema,1,1,1.0
tú,problema,se,1,1,1.0
problema,se,resuelve,1,1,1.0
se,resuelve,solo,1,1,1.0
o,jajaja,rayos,1,1,1.0
ya,quedó,lo,1,6,0.16666666666666666
suficiente,para,explicarlo,1,1,1.0
vas,a,redactar,1,5,0.2
para, ,hacer,1,1,1.0
 ,hacer,lo,1,1,1.0
hacer,lo,de,1,2,0.5
de,los,autores,1,15,0.06666666666666667
los,autores,",",1,4,0.25
autores,",",pero,1,1,1.0
",",pero,es,1,19,0.05263157894736842
es,que,va,1,29,0.034482758620689655
que,va,junto,1,2,0.5
va,junto,con,1,1,1.0
junto,con,lo,1,1,1.0
lo,que,vas,1,29,0.034482758620689655
que,vas,a,1,2,0.5
a,redactar,>,1,1,1.0
algo,y,es,1,1,1.0
es,que,es,1,29,0.034482758620689655
que,es,combinado,1,6,0.16666666666666666
es,combinado,jajaja,1,1,1.0
combinado,jajaja,porque,1,1,1.0
jajaja,porque,no,1,1,1.0
porque,no,ves,1,1,1.0
no,ves,que,1,1,1.0
ves,que,es,1,1,1.0
que,es,como,1,6,0.16666666666666666
es,como,poner,1,2,0.5
como,poner,que,1,1,1.0
poner,que,interpretamos,1,1,1.0
que,interpretamos,algo,1,1,1.0
entonces,para, ,1,1,1.0
jaja,entonces,para,1,1,1.0
casa,jaja,entonces,1,2,0.5
de,mi,casa,1,2,0.5
que,quiera,o,1,1,1.0
quiera,o,si,1,1,1.0
o,si,?,1,3,0.3333333333333333
si,?,>,1,1,1.0
<,https://colab.research.google.com/drive/1zpegh3csu9xtx3izoj9as0qf3btfwzo1?usp=sharing,>,1,1,1.0
<,https://www.facebook.com/groups/escomarket/permalink/6148710578586264/?mibextid=rs40ab7s9ucbxw6v,>,1,1,1.0
<,oye,...,1,36,0.027777777777777776
oye,...,te,1,1,1.0
...,te,falta,1,1,1.0
te,falta,mucho,1,1,1.0
falta,mucho,para,1,1,1.0
mucho,para,hacer,1,1,1.0
para,hacer,la,1,1,1.0
hacer,la,interpretación,1,1,1.0
la,interpretación,?,1,1,1.0
interpretación,?,>,1,1,1.0
<,o,jaja,1,9,0.1111111111111111
o,jaja,es,1,1,1.0
ahorita,ya,tengo,1,2,0.5
ya,tengo,que,1,1,1.0
tengo,que,hacer,1,1,1.0
que,hacer,unas,1,3,0.3333333333333333
hacer,unas,cosas,1,1,1.0
unas,cosas,de,1,1,1.0
cosas,de,aquí,1,1,1.0
de,aquí,de,1,1,1.0
aquí,de,mi,1,1,1.0
interpretamos,algo,y,1,1,1.0
y,es,igual,1,2,0.5
no,creo,que,1,2,0.5
es,importante,jaja,1,1,1.0
de,cuantas,personas,1,1,1.0
cuantas,personas,decian,1,1,1.0
personas,decian,que,1,1,1.0
decian,que,tenian,1,1,1.0
que,tenian,los,1,1,1.0
tenian,los,sintomas,1,1,1.0
los,sintomas,del,1,1,1.0
sintomas,del,tda,1,1,1.0
tda,",",porque,1,2,0.5
",",porque,eso,1,7,0.14285714285714285
porque,eso,tambien,1,1,1.0
eso,tambien,es,1,1,1.0
tambien,es,importante,1,1,1.0
importante,jaja,>,1,1,1.0
es,igual,o,1,1,1.0
sip,",",pues,1,15,0.06666666666666667
",",pues,como,1,5,0.2
pues,como,veas,1,2,0.5
como,veas,si,1,1,1.0
veas,si,crees,1,1,1.0
si,crees,que,1,1,1.0
crees,que,ya,1,3,0.3333333333333333
que,ya,con,1,11,0.09090909090909091
ya,con,lo,1,3,0.3333333333333333
lo,que,tenemos,1,29,0.034482758620689655
que,tenemos,es,1,2,0.5
tenemos,es,suficiente,1,1,1.0
es,suficiente,para,1,1,1.0
respuestas,de,cuantas,1,1,1.0
las,respuestas,de,1,2,0.5
de,las,respuestas,1,10,0.1
agregar,lo,de,1,1,1.0
igual,o,diferente,1,1,1.0
o,diferente,a,1,1,1.0
tener,un,plan,1,1,1.0
lo,de,tal,1,24,0.041666666666666664
de,tal,autor,1,1,1.0
tal,autor,y,1,1,1.0
autor,y,así,1,1,1.0
y,así,?,1,1,1.0
así,?,>,1,1,1.0
<,a,>,1,69,0.014492753623188406
sip,",",oye,1,15,0.06666666666666667
",",oye,por,1,6,0.16666666666666666
oye,por,cierto,1,1,1.0
por,cierto,sabes,1,3,0.3333333333333333
cierto,sabes,que,1,1,1.0
sabes,que,nos,1,1,1.0
que,nos,falto,1,4,0.25
nos,falto,poner,1,2,0.5
falto,poner,en,1,1,1.0
poner,en,lo,1,2,0.5
en,lo,de,1,1,1.0
de,los,resultados,1,15,0.06666666666666667
los,resultados,?,1,2,0.5
resultados,?,>,1,1,1.0
<,nos,falto,1,2,0.5
nos,falto,agregar,1,2,0.5
falto,agregar,lo,1,1,1.0
creo,que,quiera,1,21,0.047619047619047616
pero,no,creo,1,7,0.14285714285714285
quedó,lo,de,1,1,1.0
con,su,cita,1,1,1.0
la,tablita,de,1,1,1.0
tablita,de,las,1,1,1.0
de,las,preguntas,1,10,0.1
las,preguntas,del,1,1,1.0
preguntas,del,caars,1,1,1.0
del,caars,",",1,1,1.0
caars,",",pero,1,1,1.0
",",pero,solo,1,19,0.05263157894736842
pero,solo,las,1,1,1.0
solo,las,primeras,1,1,1.0
las,primeras,25,1,1,1.0
primeras,25,con,1,1,1.0
25,con,su,1,1,1.0
su,cita,(,1,1,1.0
a,ernesto,a,1,3,0.3333333333333333
cita,(,pero,1,1,1.0
(,pero,no,1,1,1.0
se,si,este,1,5,0.2
este,bien,jaja,1,2,0.5
bien,jaja,),1,2,0.5
jaja,),>,1,1,1.0
lo,que,falta,1,29,0.034482758620689655
que,falta,no,1,1,1.0
falta,no,sé,1,1,1.0
sé,",",le,1,2,0.5
",",le,quieres,1,3,0.3333333333333333
le,quieres,decir,1,2,0.5
quieres,decir,a,1,2,0.5
puse,la,tablita,1,1,1.0
le,puse,la,1,4,0.25
y,le,puse,1,2,0.5
<,y,le,1,12,0.08333333333333333
de,la,poblacion,1,20,0.05
la,poblacion,y,1,1,1.0
poblacion,y,muestra,1,1,1.0
y,muestra,y,1,1,1.0
muestra,y,lo,1,1,1.0
y,lo,de,1,3,0.3333333333333333
de,los,instrumentos,1,15,0.06666666666666667
los,instrumentos,>,1,1,1.0
<,le,agregué,1,2,0.5
le,agregué,3,1,1,1.0
agregué,3,preguntas,1,1,1.0
3,preguntas,de,1,1,1.0
preguntas,de,lo,1,1,1.0
lo,que,vamos,1,29,0.034482758620689655
que,vamos,a,1,1,1.0
vamos,a,poner,1,5,0.2
a,poner,en,1,2,0.5
poner,en,el,1,2,0.5
en,el,cuestionario,1,8,0.125
el,cuestionario,para,1,1,1.0
cuestionario,para,que,1,1,1.0
para,que,sea,1,6,0.16666666666666666
que,sea,la,1,1,1.0
sea,la,parte,1,1,1.0
la,parte,cualitativa,1,1,1.0
parte,cualitativa,>,1,1,1.0
<,según,>,1,2,0.5
decir,a,ernesto,1,1,1.0
ernesto,a,ver,1,1,1.0
jajajaj,pero,no,1,1,1.0
decirle,que,si,1,1,1.0
no,sé,jajajaja,1,9,0.1111111111111111
sé,jajajaja,era,1,1,1.0
jajajaja,era,lo,1,1,1.0
era,lo,que,1,1,1.0
que,te,iba,1,7,0.14285714285714285
te,iba,a,1,1,1.0
iba,a,preguntar,1,3,0.3333333333333333
a,preguntar,>,1,1,1.0
es,que,yo,1,29,0.034482758620689655
que,yo,pensaba,1,2,0.5
yo,pensaba,como,1,1,1.0
pensaba,como,decirle,1,1,1.0
como,decirle,que,1,1,1.0
si,podía,ver,1,2,0.5
ver,si,te,1,5,0.2
podía,ver,el,1,1,1.0
ver,el,examen,1,1,1.0
el,examen,antes,1,1,1.0
examen,antes,de,1,1,1.0
antes,de,elegir,1,3,0.3333333333333333
de,elegir,si,1,1,1.0
elegir,si,si,1,1,1.0
si,si,lo,1,1,1.0
si,lo,hacía,1,8,0.125
lo,hacía,o,1,1,1.0
hacía,o,no,1,1,1.0
o,no,jajajaj,1,4,0.25
no,jajajaj,pero,1,2,0.5
<,no,sé,1,15,0.06666666666666667
lo,quieres,>,1,5,0.2
ia,",",por,1,1,1.0
de,ia,",",1,1,1.0
si,te,ayuda,1,3,0.3333333333333333
te,ayuda,?,1,1,1.0
ayuda,?,>,1,1,1.0
<,que,biennn,1,6,0.16666666666666666
que,biennn,jajaja,1,1,1.0
biennn,jajaja,aunque,1,1,1.0
jajaja,aunque,será,1,1,1.0
aunque,será,lo,1,1,1.0
será,lo,mismo,1,1,1.0
lo,mismo,xd,1,3,0.3333333333333333
mismo,xd,>,1,1,1.0
<,jajajaja,pues,1,8,0.125
jajajaja,pues,>,1,1,1.0
si,",",a,1,15,0.06666666666666667
",",a,ver,1,2,0.5
a,ver,qué,1,10,0.1
ver,qué,le,1,2,0.5
qué,le,preguntan,1,1,1.0
le,preguntan,>,1,1,1.0
a,oye,eso,1,2,0.5
oye,eso,es,1,1,1.0
eso,es,lo,1,1,1.0
es,lo,que,1,5,0.2
lo,que,yo,1,29,0.034482758620689655
que,yo,hice,1,2,0.5
yo,hice,de,1,1,1.0
hice,de,ia,1,2,0.5
de,tener,un,1,1,1.0
lo,quieres,decir,1,5,0.2
un,plan,b,1,1,1.0
la,serie,original,1,2,0.5
original,y,en,1,1,1.0
y,en,comparación,1,2,0.5
en,comparación,con,1,1,1.0
comparación,con,los,1,1,1.0
con,los,anteriores,1,1,1.0
los,anteriores,es,1,2,0.5
anteriores,es,el,1,1,1.0
es,el,modelo,1,5,0.2
el,modelo,más,1,3,0.3333333333333333
modelo,más,apropiado,1,1,1.0
más,apropiado,para,1,1,1.0
apropiado,para,reproducir,1,1,1.0
para,reproducir,las,1,1,1.0
reproducir,las,propiedades,1,1,1.0
las,propiedades,de,1,1,1.0
propiedades,de,la,1,1,1.0
la,serie,de,1,2,0.5
serie,de,tiempo,1,1,1.0
de,tiempo,",",1,1,1.0
tiempo,",",sin,1,1,1.0
",",sin,embargo,1,1,1.0
sin,embargo,la,1,1,1.0
embargo,la,aproximación,1,1,1.0
la,aproximación,no,1,1,1.0
aproximación,no,es,1,1,1.0
no,es,completamente,1,6,0.16666666666666666
es,completamente,similar,1,1,1.0
serie,original,y,1,1,1.0
datos,de,la,1,1,1.0
similar,y,por,1,1,1.0
los,datos,de,1,2,0.5
",",si,",",1,14,0.07142857142857142
si,",",definitivamente,1,15,0.06666666666666667
",",definitivamente,se,1,1,1.0
definitivamente,se,te,1,1,1.0
se,te,quitó,1,1,1.0
te,quitó,la,1,1,1.0
quitó,la,pena,1,1,1.0
la,pena,jajajaj,1,1,1.0
pena,jajajaj,>,1,1,1.0
pero,lo,bueno,1,2,0.5
lo,bueno,que,1,1,1.0
bueno,que,ya,1,1,1.0
que,ya,la,1,11,0.09090909090909091
ya,la,conseguiste,1,2,0.5
la,conseguiste,xd,1,1,1.0
conseguiste,xd,>,1,1,1.0
<,https://www.linkedin.com/jobs/view/4029656526,>,1,1,1.0
<,el,modelo,1,1,1.0
el,modelo,sigue,1,3,0.3333333333333333
modelo,sigue,un,1,1,1.0
sigue,un,patrón,1,1,1.0
un,patrón,/,1,1,1.0
patrón,/,tendencia,1,1,1.0
/,tendencia,parecido,1,1,1.0
tendencia,parecido,a,1,1,1.0
parecido,a,los,1,1,1.0
a,los,datos,1,2,0.5
completamente,similar,y,1,1,1.0
y,por,lo,1,1,1.0
no,maaa,",",1,2,0.5
puse,eso,jaja,1,2,0.5
jajajja,que,?,1,1,1.0
que,?,>,1,1,1.0
<,a,que,1,69,0.014492753623188406
a,que,se,1,1,1.0
que,se,refiere,1,4,0.25
se,refiere,la,1,2,0.5
refiere,la,ultima,1,1,1.0
la,ultima,pregunta,1,1,1.0
ultima,pregunta,?,1,1,1.0
pregunta,?,>,1,1,1.0
que,le,puse,1,5,0.2
puse,eso,pero,1,2,0.5
eso,pero,no,1,1,1.0
se,si,se,1,5,0.2
si,se,refiere,1,7,0.14285714285714285
se,refiere,a,1,2,0.5
refiere,a,eso,1,1,1.0
a,eso,jaja,1,1,1.0
<,jajajjaja,a,1,1,1.0
jajajjaja,a,bueno,1,1,1.0
ya,quedó,",",1,6,0.16666666666666666
quedó,",",igual,1,1,1.0
",",igual,le,1,2,0.5
igual,le,puse,1,1,1.0
le,puse,conclusiones,1,4,0.25
puse,conclusiones,pero,1,1,1.0
conclusiones,pero,no,1,1,1.0
<,jajajja,que,1,1,1.0
",",le,puse,1,3,0.3333333333333333
por,lo,tanto,1,3,0.3333333333333333
ver,",",le,1,1,1.0
lo,tanto,aún,1,1,1.0
tanto,aún,existen,1,1,1.0
aún,existen,residuos,1,1,1.0
existen,residuos,que,1,1,1.0
residuos,que,evitarán,1,1,1.0
que,evitarán,la,1,1,1.0
evitarán,la,reproducción,1,1,1.0
la,reproducción,total,1,1,1.0
reproducción,total,de,1,1,1.0
total,de,los,1,1,1.0
de,los,datos,1,15,0.06666666666666667
los,datos,>,1,2,0.5
<,esa,>,1,1,1.0
a,no,aguanta,1,7,0.14285714285714285
no,aguanta,",",1,1,1.0
aguanta,",",son,1,1,1.0
",",son,distintas,1,1,1.0
son,distintas,preguntas,1,1,1.0
distintas,preguntas,jajaja,1,1,1.0
preguntas,jajaja,>,1,1,1.0
<,jajaj,esa,1,6,0.16666666666666666
jajaj,esa,si,1,1,1.0
esa,si,quieres,1,1,1.0
si,quieres,la,1,16,0.0625
quieres,la,hago,1,1,1.0
hago,yo,>,1,2,0.5
a,ver,",",1,10,0.1
maaa,",",si,1,1,1.0
jajajajaja,no,maaa,1,2,0.5
si,quieras,agregarle,1,2,0.5
jajaja,ya,quedó,1,2,0.5
se,pone,que,1,1,1.0
pone,que,teníamos,1,1,1.0
teníamos,que,buscarlo,1,2,0.5
que,buscarlo,jajaja,1,1,1.0
buscarlo,jajaja,pero,1,1,1.0
jajaja,pero,se,1,4,0.25
pero,se,lo,1,1,1.0
se,lo,pedí,1,5,0.2
lo,pedí,a,1,1,1.0
pedí,a,chat,1,1,1.0
a,chat,xd,1,1,1.0
chat,xd,y,1,1,1.0
xd,y,de,1,1,1.0
y,de,los,1,2,0.5
de,los,valores,1,15,0.06666666666666667
los,valores,solo,1,1,1.0
valores,solo,los,1,1,1.0
solo,los,inventé,1,1,1.0
los,inventé,jajah,1,1,1.0
inventé,jajah,>,1,1,1.0
jajaja,sip,xd,1,4,0.25
sip,xd,>,1,1,1.0
oye,",",entonces,1,19,0.05263157894736842
",",entonces,mañana,1,4,0.25
entonces,mañana,si,1,1,1.0
mañana,si,se,1,1,1.0
si,se,va,1,7,0.14285714285714285
<,se,pone,1,1,1.0
resolví,jajaja,ya,1,1,1.0
a,armar,algo,1,1,1.0
ya,resolví,jajaja,1,1,1.0
tengo,",",no,1,1,1.0
",",no,le,1,7,0.14285714285714285
no,le,tomaste,1,1,1.0
le,tomaste,foto,1,1,1.0
tomaste,foto,?,1,1,1.0
<,no,maaa,1,15,0.06666666666666667
no,maaa,jajaja,1,2,0.5
maaa,jajaja,",",1,1,1.0
jajaja,",",sip,1,4,0.25
",",sip,va,1,8,0.125
sip,va,>,1,1,1.0
",",no,me,1,7,0.14285714285714285
no,me,sale,1,3,0.3333333333333333
me,sale,la,1,2,0.5
sale,la,última,1,1,1.0
la,última,gráfica,1,1,1.0
última,gráfica,",",1,1,1.0
gráfica,",",no,1,1,1.0
",",no,sé,1,7,0.14285714285714285
no,sé,porque,1,9,0.1111111111111111
sé,porque,me,1,1,1.0
porque,me,sale,1,1,1.0
me,sale,como,1,2,0.5
sale,como,volteada,1,1,1.0
como,volteada,>,1,1,1.0
<,olvídalo,ya,1,1,1.0
olvídalo,ya,resolví,1,1,1.0
va,a,armar,1,5,0.2
armar,algo,?,1,1,1.0
",",chi,gracias,1,1,1.0
los,veo,?,1,3,0.3333333333333333
<,baje,a,1,1,1.0
baje,a,los,1,1,1.0
a,los,baños,1,2,0.5
los,baños,>,1,2,0.5
oye,oye,jaja,1,12,0.08333333333333333
oye,jaja,",",1,1,1.0
jaja,",",crees,1,4,0.25
crees,que,me,1,3,0.3333333333333333
que,me,puedas,1,3,0.3333333333333333
me,puedas,pasar,1,1,1.0
puedas,pasar,el,1,1,1.0
pasar,el,nombre,1,1,1.0
el,nombre,",",1,1,1.0
nombre,",",contacto,1,1,1.0
",",contacto,",",1,1,1.0
contacto,",",dirección,1,1,1.0
",",dirección,y,1,1,1.0
dirección,y,precio,1,1,1.0
y,precio,de,1,1,1.0
precio,de,tu,1,1,1.0
de,tu,dermatólogo,1,1,1.0
tu,dermatólogo,?,1,1,1.0
dermatólogo,?,>,1,1,1.0
<,xd,porfa,1,1,1.0
xd,porfa,jajaja,1,1,1.0
a,vavava,",",1,2,0.5
vavava,",",chi,1,2,0.5
veo,?,>,1,1,1.0
dónde,los,veo,1,1,1.0
algo,?,>,1,1,1.0
<,dónde,los,1,2,0.5
de,lo,del,1,10,0.1
lo,del,sushi,1,7,0.14285714285714285
del,sushi,?,1,1,1.0
sushi,?,>,1,1,1.0
<,o,no,1,9,0.1111111111111111
o,no,?,1,4,0.25
<,jajajaj,vava,1,5,0.2
jajajaj,vava,xd,1,1,1.0
vava,xd,>,1,1,1.0
no,",",creo,1,3,0.3333333333333333
",",creo,que,1,1,1.0
creo,que,no,1,21,0.047619047619047616
que,no,jaja,1,14,0.07142857142857142
no,jaja,yo,1,6,0.16666666666666666
jaja,yo,solo,1,2,0.5
yo,solo,subí,1,1,1.0
solo,subí,las,1,1,1.0
subí,las,respuestas,1,1,1.0
las,respuestas,>,1,2,0.5
<,rayosss,pues,1,1,1.0
rayosss,pues,a,1,1,1.0
pues,a,ver,1,1,1.0
ver,si,mañana,1,5,0.2
si,mañana,nos,1,1,1.0
mañana,nos,dice,1,1,1.0
nos,dice,algo,1,1,1.0
dice,algo,>,1,1,1.0
sé,si,quieras,1,4,0.25
quieras,agregarle,algo,1,1,1.0
plan,b,y,1,1,1.0
y,ya,te,1,11,0.09090909090909091
te,digo,si,1,3,0.3333333333333333
digo,si,ya,1,1,1.0
si,ya,quedó,1,2,0.5
vava,jaja,sip,1,2,0.5
jaja,sip,:3,1,3,0.3333333333333333
sip,:3,>,1,1,1.0
oye,oye,jajaja,1,12,0.08333333333333333
oye,jajaja,cuando,1,1,1.0
jajaja,cuando,llegues,1,1,1.0
cuando,llegues,a,1,2,0.5
llegues,a,panti,1,1,1.0
a,panti,y,1,1,1.0
panti,y,vayas,1,1,1.0
y,vayas,caminando,1,1,1.0
vayas,caminando,por,1,1,1.0
caminando,por,el,1,1,1.0
por,el,pasillo,1,2,0.5
el,pasillo,ya,1,2,0.5
pasillo,ya,para,1,1,1.0
ya,para,el,1,1,1.0
para,el,mexi,1,4,0.25
el,mexi,",",1,1,1.0
mexi,",",fíjate,1,1,1.0
",",fíjate,en,1,1,1.0
fíjate,en,los,1,1,1.0
en,los,puestos,1,4,0.25
los,puestos,donde,1,1,1.0
ya,te,digo,1,4,0.25
eso,y,ya,1,3,0.3333333333333333
donde,venden,cosas,1,1,1.0
solo,eso,y,1,1,1.0
<,si,jajajaja,1,28,0.03571428571428571
si,jajajaja,ya,1,1,1.0
jajajaja,ya,de,1,1,1.0
ya,de,una,1,1,1.0
de,una,xd,1,2,0.5
una,xd,>,1,1,1.0
<,pero,chécalos,1,11,0.09090909090909091
pero,chécalos,jajajaja,1,1,1.0
chécalos,jajajaja,a,1,1,1.0
jajajaja,a,ver,1,1,1.0
ver,si,no,1,5,0.2
si,no,hice,1,5,0.2
no,hice,algo,1,1,1.0
hice,algo,raro,1,1,1.0
algo,raro,>,1,1,1.0
a,bueno,:3,1,10,0.1
bueno,:3,>,1,1,1.0
sip,",",>,1,15,0.06666666666666667
<,está,bien,1,2,0.5
vavav,",",sip,1,2,0.5
",",sip,está,1,8,0.125
está,bien,entonces,1,11,0.09090909090909091
bien,entonces,ya,1,1,1.0
entonces,ya,ahorita,1,2,0.5
ya,ahorita,checo,1,2,0.5
ahorita,checo,solo,1,1,1.0
checo,solo,eso,1,1,1.0
puestos,donde,venden,1,1,1.0
venden,cosas,",",1,1,1.0
y,mira,jajajaja,1,2,0.5
los,veo,xd,1,3,0.3333333333333333
<,a,para,1,69,0.014492753623188406
a,para,mañana,1,1,1.0
para,mañana,y,1,1,1.0
mañana,y,es,1,1,1.0
y,es,lo,1,2,0.5
lo,de,investigar,1,24,0.041666666666666664
de,investigar,sobre,1,1,1.0
investigar,sobre,las,1,1,1.0
sobre,las,big,1,1,1.0
las,big,four,1,1,1.0
big,four,>,1,1,1.0
jajaja,sip,está,1,4,0.25
oye,",",al,1,19,0.05263157894736842
",",al,ejércicio,1,1,1.0
al,ejércicio,5,1,1,1.0
ejércicio,5,te,1,1,1.0
5,te,faltó,1,1,1.0
te,faltó,aplicarle,1,1,1.0
faltó,aplicarle,el,1,1,1.0
aplicarle,el,toffoli,1,1,1.0
el,toffoli,que,1,1,1.0
toffoli,que,es,1,1,1.0
es,el,ccnot,1,5,0.2
el,ccnot,>,1,1,1.0
<,puso,eso,1,1,1.0
puso,eso,jajaja,1,1,1.0
si,",",según,1,15,0.06666666666666667
veo,xd,?,1,1,1.0
donde,los,veo,1,1,1.0
cosas,",",en,1,1,1.0
entonces,donde,los,1,1,1.0
",",en,el,1,2,0.5
en,el,13,1,8,0.125
el,13,hay,1,1,1.0
13,hay,un,1,1,1.0
hay,un,peluchito,1,1,1.0
un,peluchito,del,1,1,1.0
peluchito,del,jack,1,1,1.0
del,jack,por,1,1,1.0
jack,por,si,1,1,1.0
quieres,ver,jajajaj,1,2,0.5
ver,jajajaj,>,1,1,1.0
<,jaja,sip,1,5,0.2
jaja,sip,",",1,3,0.3333333333333333
<,ya,salí,1,9,0.1111111111111111
ya,salí,",",1,2,0.5
salí,",",los,1,1,1.0
",",los,veo,1,1,1.0
los,veo,en,1,3,0.3333333333333333
veo,en,los,1,1,1.0
en,los,baños,1,4,0.25
los,baños,de,1,2,0.5
baños,de,abajo,1,1,1.0
de,abajo,>,1,1,1.0
<,a,jajajajaj,1,69,0.014492753623188406
a,jajajajaj,bueno,1,1,1.0
jajajajaj,bueno,entonces,1,1,1.0
bueno,entonces,donde,1,1,1.0
mira,jajajaja,>,1,1,1.0
lab,y,mira,1,1,1.0
agregarle,algo,más,1,1,1.0
del,tt,?,1,1,1.0
<,para,agregar,1,4,0.25
para,agregar,a,1,1,1.0
agregar,a,celis,1,1,1.0
a,celis,jeje,1,2,0.5
celis,jeje,>,1,1,1.0
<,jajaj,gracias,1,6,0.16666666666666666
jajaj,gracias,>,1,1,1.0
<,y,ntp,1,12,0.08333333333333333
y,ntp,>,1,1,1.0
a,oye,si,1,2,0.5
oye,si,es,1,1,1.0
es,en,la,1,3,0.3333333333333333
en,la,sala,1,7,0.14285714285714285
la,sala,14,1,1,1.0
sala,14,",",1,1,1.0
14,",",por,1,1,1.0
",",por,ahí,1,4,0.25
por,ahí,por,1,1,1.0
ahí,por,dónde,1,1,1.0
por,dónde,íbamos,1,1,1.0
dónde,íbamos,todo,1,1,1.0
íbamos,todo,derecho,1,1,1.0
todo,derecho,hasta,1,1,1.0
derecho,hasta,el,1,1,1.0
