Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
<,espero,4,1566,0.002554278416347382
<,omggg,4,1566,0.002554278416347382
me,gusta,4,81,0.04938271604938271
vda,>,4,6,0.6666666666666666
<,pues,4,1566,0.002554278416347382
<,bien,4,1566,0.002554278416347382
bien,y,4,18,0.2222222222222222
me,da,4,81,0.04938271604938271
pero,me,4,71,0.056338028169014086
si,me,4,162,0.024691358024691357
a,ti,4,81,0.04938271604938271
<,ooo,4,1566,0.002554278416347382
ooo,>,4,4,1.0
<,mi,4,1566,0.002554278416347382
<,un,4,1566,0.002554278416347382
ojala,>,4,8,0.5
<,aun,4,1566,0.002554278416347382
es,>,4,67,0.05970149253731343
si,lo,4,162,0.024691358024691357
<,quien,4,1566,0.002554278416347382
a,las,4,81,0.04938271604938271
te,dije,4,40,0.1
pero,ya,4,71,0.056338028169014086
tal,?,4,13,0.3076923076923077
solo,q,4,9,0.4444444444444444
va,a,4,18,0.2222222222222222
pq,>,4,23,0.17391304347826086
de,un,4,108,0.037037037037037035
mal,>,4,5,0.8
siento,q,4,6,0.6666666666666666
<,nose,4,1566,0.002554278416347382
vida,de,4,7,0.5714285714285714
omg,>,4,4,1.0
tu,?,4,16,0.25
esta,bn,4,25,0.16
no,le,4,152,0.02631578947368421
<,tienes,4,1566,0.002554278416347382
no,tengo,4,152,0.02631578947368421
<,tal,4,1566,0.002554278416347382
yo,>,4,31,0.12903225806451613
soñe,nd,4,5,0.8
nooo,>,4,5,0.8
es,de,4,67,0.05970149253731343
mi,casa,4,27,0.14814814814814814
<,lol,4,1566,0.002554278416347382
real,>,4,4,1.0
que,si,4,38,0.10526315789473684
<,con,4,1566,0.002554278416347382
dios,>,4,6,0.6666666666666666
sabe,>,4,7,0.5714285714285714
hay,q,4,14,0.2857142857142857
<,perdon,4,1566,0.002554278416347382
vi,>,4,5,0.8
jaja,>,4,5,0.8
<,para,4,1566,0.002554278416347382
es,el,4,67,0.05970149253731343
casa,>,4,8,0.5
<,nooo,4,1566,0.002554278416347382
nose,>,4,4,1.0
y,ya,3,57,0.05263157894736842
de,nada,3,108,0.027777777777777776
se,si,3,56,0.05357142857142857
<,porque,3,1566,0.0019157088122605363
que,fue,3,38,0.07894736842105263
me,gustan,3,81,0.037037037037037035
ya,escuchaste,3,96,0.03125
un,otaku,3,29,0.10344827586206896
ok,>,3,6,0.5
si,te,3,162,0.018518518518518517
<,buenos,3,1566,0.0019157088122605363
si,es,3,162,0.018518518518518517
buenos,dias,3,5,0.6
<,voy,3,1566,0.0019157088122605363
:0,>,3,3,1.0
<,:0,3,1566,0.0019157088122605363
<,ahi,3,1566,0.0019157088122605363
pero,te,3,71,0.04225352112676056
<,tabn,3,1566,0.0019157088122605363
<,apoko,3,1566,0.0019157088122605363
en,su,3,54,0.05555555555555555
ai,>,3,6,0.5
<,ay,3,1566,0.0019157088122605363
no,seee,3,152,0.019736842105263157
seee,>,3,4,0.75
x,eso,3,14,0.21428571428571427
<,anda,3,1566,0.0019157088122605363
bien,",",3,18,0.16666666666666666
mejor,>,3,12,0.25
<,sim,3,1566,0.0019157088122605363
sim,>,3,3,1.0
tesis,>,3,4,0.75
<,x222,3,1566,0.0019157088122605363
x222,>,3,3,1.0
roblox,>,3,4,0.75
me,acorde,3,81,0.037037037037037035
<,mejor,3,1566,0.0019157088122605363
no,lo,3,152,0.019736842105263157
que,no,3,38,0.07894736842105263
?,?,3,115,0.02608695652173913
<,eii,3,1566,0.0019157088122605363
veces,>,3,3,1.0
q,dices,3,164,0.018292682926829267
dices,>,3,6,0.5
aca,>,3,7,0.42857142857142855
vale,vale,3,12,0.25
to,bien,3,4,0.75
<,del,3,1566,0.0019157088122605363
ayer,>,3,4,0.75
<,sabes,3,1566,0.0019157088122605363
a,si,3,81,0.037037037037037035
caro,>,3,3,1.0
<,mas,3,1566,0.0019157088122605363
<,muy,3,1566,0.0019157088122605363
gracias,a,3,21,0.14285714285714285
a,dios,3,81,0.037037037037037035
y,a,3,57,0.05263157894736842
ti,?,3,4,0.75
ya,tiene,3,96,0.03125
jajjaja,>,3,3,1.0
nooombre,>,3,3,1.0
<,ps,3,1566,0.0019157088122605363
<,nooombre,3,1566,0.0019157088122605363
q,me,3,164,0.018292682926829267
grasias,chika,3,13,0.23076923076923078
muy,bn,3,13,0.23076923076923078
mi,fav,3,27,0.1111111111111111
perdon,>,3,4,0.75
<,estan,3,1566,0.0019157088122605363
<,hola,3,1566,0.0019157088122605363
pq,no,3,23,0.13043478260869565
<,fuersa,3,1566,0.0019157088122605363
escuela,>,3,6,0.5
buena,>,3,3,1.0
a,la,3,81,0.037037037037037035
<,go,3,1566,0.0019157088122605363
<,mimi,3,1566,0.0019157088122605363
la,otra,3,74,0.04054054054054054
kiero,>,3,7,0.42857142857142855
examen,>,3,8,0.375
es,mi,3,67,0.04477611940298507
no,?,3,152,0.019736842105263157
<,jajajajaja,3,1566,0.0019157088122605363
omggg,>,3,4,0.75
y,me,3,57,0.05263157894736842
y,luego,3,57,0.05263157894736842
uy,no,3,3,1.0
jajajajaja,>,3,3,1.0
<,ayuda,3,1566,0.0019157088122605363
no,kiero,3,152,0.019736842105263157
<,tu,3,1566,0.0019157088122605363
kreo,>,3,3,1.0
mimi,bn,3,5,0.6
vdd,?,3,14,0.21428571428571427
<,cuales,3,1566,0.0019157088122605363
de,vdd,3,108,0.027777777777777776
<,u.u,3,1566,0.0019157088122605363
me,dio,3,81,0.037037037037037035
espero,q,3,5,0.6
hora,>,3,3,1.0
examenes,>,3,3,1.0
la,vda,3,74,0.04054054054054054
",",ya,3,60,0.05
<,uy,3,1566,0.0019157088122605363
avr,>,3,6,0.5
<,dame,3,1566,0.0019157088122605363
si,se,3,162,0.018518518518518517
q,ya,3,164,0.018292682926829267
tengo,un,3,24,0.125
impresion,>,3,3,1.0
ya,se,3,96,0.03125
jajajajj,>,3,3,1.0
<,jajajajj,3,1566,0.0019157088122605363
cierto,>,3,4,0.75
un,monton,3,29,0.10344827586206896
:),>,3,3,1.0
jajajaj,no,3,51,0.058823529411764705
o.o,>,3,3,1.0
ver,si,3,6,0.5
<,deja,3,1566,0.0019157088122605363
<,este,3,1566,0.0019157088122605363
<,jajajjaj,3,1566,0.0019157088122605363
jajajjaj,>,3,3,1.0
no,he,3,152,0.019736842105263157
la,impresion,3,74,0.04054054054054054
",",es,3,60,0.05
",",pero,3,60,0.05
mucho,>,2,8,0.25
cuanto,?,2,3,0.6666666666666666
<,cuando,2,1566,0.001277139208173691
<,busca,2,1566,0.001277139208173691
no,puedo,2,152,0.013157894736842105
ya,le,2,96,0.020833333333333332
q,horror,2,164,0.012195121951219513
horror,>,2,2,1.0
fuersa,bro,2,3,0.6666666666666666
bro,>,2,2,1.0
sacaaaaa,>,2,2,1.0
ayuda,>,2,3,0.6666666666666666
semana,>,2,4,0.5
yo,tengo,2,31,0.06451612903225806
",",yo,2,60,0.03333333333333333
ya,te,2,96,0.020833333333333332
son,como,2,9,0.2222222222222222
pero,si,2,71,0.028169014084507043
pq,tengo,2,23,0.08695652173913043
esta,semana,2,25,0.08
tanto,>,2,2,1.0
xfa,>,2,2,1.0
no,tanto,2,152,0.013157894736842105
aca,igual,2,7,0.2857142857142857
es,una,2,67,0.029850746268656716
una,churreria,2,16,0.125
hay,una,2,14,0.14285714285714285
muy,buena,2,13,0.15384615384615385
empiezan,>,2,2,1.0
puedo,>,2,3,0.6666666666666666
esa,hora,2,5,0.4
me,gusto,2,81,0.024691358024691357
<,💋,2,1566,0.001277139208173691
te,parece,2,40,0.05
yo,de,2,31,0.06451612903225806
yo,creo,2,31,0.06451612903225806
🧒,>,2,2,1.0
<,🧒,2,1566,0.001277139208173691
💋,>,2,4,0.5
💋,💋,2,4,0.5
te,digo,2,40,0.05
acepto,>,2,2,1.0
entiendo,>,2,3,0.6666666666666666
va,la,2,18,0.1111111111111111
komo,>,2,2,1.0
<,komo,2,1566,0.001277139208173691
sola,>,2,2,1.0
siii,",",2,36,0.05555555555555555
pero,tmb,2,71,0.028169014084507043
corre,>,2,2,1.0
me,muero,2,81,0.024691358024691357
naaa,>,2,2,1.0
no,tiene,2,152,0.013157894736842105
<,naaa,2,1566,0.001277139208173691
ya,estaba,2,96,0.020833333333333332
q,mañana,2,164,0.012195121951219513
mañana,si,2,18,0.1111111111111111
mejor,mañana,2,12,0.16666666666666666
estaba,mimida,2,6,0.3333333333333333
te,lo,2,40,0.05
a,esa,2,81,0.024691358024691357
la,primera,2,74,0.02702702702702703
<,jajajqj,2,1566,0.001277139208173691
en,lo,2,54,0.037037037037037035
se,te,2,56,0.03571428571428571
me,la,2,81,0.024691358024691357
la,tesis,2,74,0.02702702702702703
tu,q,2,16,0.125
pero,esta,2,71,0.028169014084507043
esta,?,2,25,0.08
lastima,q,2,2,1.0
jajajqj,>,2,2,1.0
ya,tengo,2,96,0.020833333333333332
ya,nada,2,96,0.020833333333333332
master,>,2,3,0.6666666666666666
de,tarea,2,108,0.018518518518518517
van,a,2,2,1.0
<,eh,2,1566,0.001277139208173691
otra,semana,2,6,0.3333333333333333
tarea,de,2,7,0.2857142857142857
ya,estamos,2,96,0.020833333333333332
tiene,25,2,9,0.2222222222222222
sign,>,2,2,1.0
<,joder,2,1566,0.001277139208173691
año,>,2,3,0.6666666666666666
del,año,2,8,0.25
he,visto,2,8,0.25
ve,sp,2,7,0.2857142857142857
de,ellas,2,108,0.018518518518518517
4,>,2,2,1.0
el,grupo,2,43,0.046511627906976744
bp,>,2,2,1.0
q,ella,2,164,0.012195121951219513
bn,de,2,25,0.08
:(,>,2,2,1.0
<,oki,2,1566,0.001277139208173691
vamos,a,2,3,0.6666666666666666
me,haces,2,81,0.024691358024691357
a,los,2,81,0.024691358024691357
oye,>,2,8,0.25
cosas,>,2,5,0.4
las,cosas,2,17,0.11764705882352941
como,?,2,20,0.1
o,como,2,22,0.09090909090909091
estan,las,2,7,0.2857142857142857
<,ontan,2,1566,0.001277139208173691
los,programas,2,24,0.08333333333333333
puedes,traer,2,5,0.4
me,puedes,2,81,0.024691358024691357
los,de,2,24,0.08333333333333333
<,ah,2,1566,0.001277139208173691
chica,>,2,2,1.0
entendi,>,2,3,0.6666666666666666
un,bn,2,29,0.06896551724137931
no,la,2,152,0.013157894736842105
le,entendi,2,18,0.1111111111111111
digo,q,2,5,0.4
baemon,>,2,3,0.6666666666666666
<,eres,2,1566,0.001277139208173691
se,le,2,56,0.03571428571428571
jigumis,>,2,2,1.0
tabn,>,2,3,0.6666666666666666
pero,algo,2,71,0.028169014084507043
se,q,2,56,0.03571428571428571
vdd,q,2,14,0.14285714285714285
<,vdd,2,1566,0.001277139208173691
es,algo,2,67,0.029850746268656716
<,lastima,2,1566,0.001277139208173691
parecia,a,2,2,1.0
si,jajaj,2,162,0.012345679012345678
acorde,de,2,3,0.6666666666666666
pero,x,2,71,0.028169014084507043
una,ai,2,16,0.125
<,tmb,2,1566,0.001277139208173691
tengo,>,2,24,0.08333333333333333
sepa,>,2,3,0.6666666666666666
<,sepa,2,1566,0.001277139208173691
vida,real,2,7,0.2857142857142857
q,bueno,2,164,0.012195121951219513
y,en,2,57,0.03508771929824561
anda,di,2,4,0.5
di,k,2,2,1.0
k,si,2,3,0.6666666666666666
no,los,2,152,0.013157894736842105
joven,>,2,2,1.0
hecho,creo,2,8,0.25
a,ver,2,81,0.024691358024691357
<,cual,2,1566,0.001277139208173691
¿,>,2,2,1.0
q,luego,2,164,0.012195121951219513
dije,q,2,4,0.5
no,cierto,2,152,0.013157894736842105
que,?,2,38,0.05263157894736842
nemonemo,?,2,3,0.6666666666666666
<,ando,2,1566,0.001277139208173691
es,🍐,2,67,0.029850746268656716
🍐,>,2,2,1.0
si,esta,2,162,0.012345679012345678
",",si,2,60,0.03333333333333333
noooo,>,2,2,1.0
<,noooo,2,1566,0.001277139208173691
<,fue,2,1566,0.001277139208173691
se,ven,2,56,0.03571428571428571
creo,>,2,15,0.13333333333333333
pero,yo,2,71,0.028169014084507043
hay,?,2,14,0.14285714285714285
se,",",2,56,0.03571428571428571
momento,>,2,2,1.0
pues,ya,2,8,0.25
<,non,2,1566,0.001277139208173691
non,>,2,2,1.0
mimir,>,2,2,1.0
<,noooombre,2,1566,0.001277139208173691
yo,tmb,2,31,0.06451612903225806
q,todos,2,164,0.012195121951219513
me,recordaste,2,81,0.024691358024691357
x,el,2,14,0.14285714285714285
kien,sabeee,2,6,0.3333333333333333
jajajaj,kien,2,51,0.0392156862745098
<,sobre,2,1566,0.001277139208173691
eso,?,2,25,0.08
noooombre,>,2,2,1.0
mi,me,2,27,0.07407407407407407
miedo,>,2,4,0.5
boomer,>,2,3,0.6666666666666666
<,boomer,2,1566,0.001277139208173691
da,miedo,2,4,0.5
si,le,2,162,0.012345679012345678
pense,q,2,2,1.0
es,lo,2,67,0.029850746268656716
xdd,>,2,2,1.0
dormire,>,2,2,1.0
ya,dormire,2,96,0.020833333333333332
cansaa,>,2,2,1.0
toy,cansaa,2,4,0.5
<,sigo,2,1566,0.001277139208173691
onta,?,2,2,1.0
<,por,2,1566,0.001277139208173691
botate,>,2,2,1.0
si,a,2,162,0.012345679012345678
no,",",2,152,0.013157894736842105
",",la,2,60,0.03333333333333333
y,q,2,57,0.03508771929824561
estan,bn,2,7,0.2857142857142857
<,jajjaja,2,1566,0.001277139208173691
ahorita,ya,2,4,0.5
<,ahorita,2,1566,0.001277139208173691
<,deberian,2,1566,0.001277139208173691
un,examen,2,29,0.06896551724137931
combi,>,2,2,1.0
q,ni,2,164,0.012195121951219513
dice,>,2,4,0.5
jajajajajj,>,2,2,1.0
ekis,>,2,3,0.6666666666666666
<,ekis,2,1566,0.001277139208173691
acabe,>,2,2,1.0
dias,>,2,4,0.5
el,examen,2,43,0.046511627906976744
habia,visto,2,7,0.2857142857142857
<,al,2,1566,0.001277139208173691
ei,>,2,2,1.0
<,ei,2,1566,0.001277139208173691
examen,de,2,8,0.25
y,de,2,57,0.03508771929824561
de,hoy,2,108,0.018518518518518517
tengo,sueño,2,24,0.08333333333333333
sueño,>,2,3,0.6666666666666666
mas,>,2,12,0.16666666666666666
ya,",",2,96,0.020833333333333332
feo,>,2,4,0.5
go,>,2,5,0.4
lol,q,2,4,0.5
ni,la,2,12,0.16666666666666666
<,jajajajajj,2,1566,0.001277139208173691
yo,si,2,31,0.06451612903225806
hacer,tarea,2,5,0.4
monton,>,2,3,0.6666666666666666
tal,>,2,13,0.15384615384615385
esta,muy,2,25,0.08
fue,>,2,9,0.2222222222222222
<,orita,2,1566,0.001277139208173691
el,mas,2,43,0.046511627906976744
voy,>,2,7,0.2857142857142857
siiii,tt,2,9,0.2222222222222222
una,casa,2,16,0.125
kisiese,>,2,3,0.6666666666666666
<,kisiese,2,1566,0.001277139208173691
orita,>,2,4,0.5
<,aaa,2,1566,0.001277139208173691
tengo,q,2,24,0.08333333333333333
es,vdd,2,67,0.029850746268656716
q,estudiar,2,164,0.012195121951219513
q,tengo,2,164,0.012195121951219513
he,probado,2,8,0.25
el,roblo,2,43,0.046511627906976744
<,adios,2,1566,0.001277139208173691
adios,>,2,2,1.0
dices,eso,2,6,0.3333333333333333
que,bueno,2,38,0.05263157894736842
acuerdo,>,2,2,1.0
me,acuerdo,2,81,0.024691358024691357
q,mal,2,164,0.012195121951219513
q,le,2,164,0.012195121951219513
algo,?,2,10,0.2
o,algo,2,22,0.09090909090909091
<,roblox,2,1566,0.001277139208173691
<,estoy,2,1566,0.001277139208173691
el,de,2,43,0.046511627906976744
<,siento,2,1566,0.001277139208173691
se,hace,2,56,0.03571428571428571
al,rato,2,10,0.2
<,yap,2,1566,0.001277139208173691
yap,>,2,2,1.0
puelo,>,2,2,1.0
no,puelo,2,152,0.013157894736842105
q,pasa,2,164,0.012195121951219513
un,juego,2,29,0.06896551724137931
dormi,bien,2,3,0.6666666666666666
meh,>,2,2,1.0
dame,>,2,3,0.6666666666666666
pq,dices,2,23,0.08695652173913043
perdone,>,2,2,1.0
oraaa,>,2,2,1.0
<,oraaa,2,1566,0.001277139208173691
lo,habia,2,41,0.04878048780487805
",",esta,2,60,0.03333333333333333
o,q,2,22,0.09090909090909091
eii,>,2,3,0.6666666666666666
bn,feo,2,25,0.08
azucar,>,2,2,1.0
mimi,bien,2,5,0.4
<,ja,2,1566,0.001277139208173691
lo,venden,2,41,0.04878048780487805
para,mi,2,11,0.18181818181818182
pure,de,2,2,1.0
cajeta,>,2,2,1.0
<,sacaaaaa,2,1566,0.001277139208173691
<,kien,2,1566,0.001277139208173691
la,de,2,74,0.02702702702702703
",",asi,2,60,0.03333333333333333
de,queso,2,108,0.018518518518518517
provechito,>,2,2,1.0
<,provechito,2,1566,0.001277139208173691
<,okok,2,1566,0.001277139208173691
jugar,>,2,5,0.4
<,jajajajja,2,1566,0.001277139208173691
jajajajja,>,2,2,1.0
essss,>,2,2,1.0
en,q,2,54,0.037037037037037035
<,akiora,2,1566,0.001277139208173691
?,o.o,2,115,0.017391304347826087
nomas,>,2,11,0.18181818181818182
<,hasta,2,1566,0.001277139208173691
<,tt,2,1566,0.001277139208173691
ella,>,2,6,0.3333333333333333
mmm,>,2,5,0.4
<,ey,2,1566,0.001277139208173691
canon,>,2,2,1.0
<,nos,2,1566,0.001277139208173691
cacheteo,>,2,2,1.0
