Term 1,Term 2,Frequency of Bigram,Frequency of Context (Term 1),Conditional Probability
sabe,>,4,7,0.5714285714285714
<,voy,4,1654,0.0024183796856106408
se,llama,4,56,0.07142857142857142
mejor,>,4,12,0.3333333333333333
voy,a,4,7,0.5714285714285714
no,tengo,4,152,0.02631578947368421
no,le,4,152,0.02631578947368421
ooo,>,4,4,1.0
la,vdd,4,74,0.05405405405405406
ya,lo,4,96,0.041666666666666664
<,nd,4,1654,0.0024183796856106408
jaja,>,4,5,0.8
<,tal,4,1654,0.0024183796856106408
de,un,4,108,0.037037037037037035
vida,de,4,7,0.5714285714285714
avr,>,4,6,0.6666666666666666
real,>,4,4,1.0
hay,q,4,14,0.2857142857142857
se,ve,4,56,0.07142857142857142
<,tengo,4,1654,0.0024183796856106408
te,dije,4,40,0.1
nooo,>,4,5,0.8
<,perdon,4,1654,0.0024183796856106408
si,me,4,162,0.024691358024691357
solo,q,4,9,0.4444444444444444
<,creo,4,1654,0.0024183796856106408
me,gusta,4,81,0.04938271604938271
que,si,4,38,0.10526315789473684
<,con,4,1654,0.0024183796856106408
<,para,4,1654,0.0024183796856106408
va,a,4,18,0.2222222222222222
mal,>,4,5,0.8
<,nooo,4,1654,0.0024183796856106408
aun,no,4,7,0.5714285714285714
<,aun,4,1654,0.0024183796856106408
q,si,4,164,0.024390243902439025
esta,bn,4,25,0.16
tal,?,4,13,0.3076923076923077
casa,>,4,8,0.5
mi,escuela,4,27,0.14814814814814814
<,aca,4,1654,0.0024183796856106408
<,tu,4,1654,0.0024183796856106408
bien,",",3,18,0.16666666666666666
k,>,3,3,1.0
tesis,>,3,4,0.75
no,seee,3,152,0.019736842105263157
seee,>,3,4,0.75
x,eso,3,14,0.21428571428571427
ahi,>,3,6,0.5
",",pero,3,60,0.05
<,sim,3,1654,0.0018137847642079807
<,anda,3,1654,0.0018137847642079807
hora,>,3,3,1.0
?,?,3,115,0.02608695652173913
que,no,3,38,0.07894736842105263
<,estan,3,1654,0.0018137847642079807
y,ya,3,57,0.05263157894736842
<,ahi,3,1654,0.0018137847642079807
ya,escuchaste,3,96,0.03125
<,cuales,3,1654,0.0018137847642079807
<,muy,3,1654,0.0018137847642079807
me,acorde,3,81,0.037037037037037035
un,otaku,3,29,0.10344827586206896
x222,>,3,3,1.0
<,x222,3,1654,0.0018137847642079807
pq,no,3,23,0.13043478260869565
<,buenos,3,1654,0.0018137847642079807
buenos,dias,3,5,0.6
sim,>,3,3,1.0
un,monton,3,29,0.10344827586206896
q,me,3,164,0.018292682926829267
<,dame,3,1654,0.0018137847642079807
escuela,>,3,6,0.5
<,mimi,3,1654,0.0018137847642079807
buena,>,3,3,1.0
a,la,3,81,0.037037037037037035
a,si,3,81,0.037037037037037035
<,ps,3,1654,0.0018137847642079807
caro,>,3,3,1.0
jajjaja,>,3,3,1.0
:),>,3,3,1.0
examen,>,3,8,0.375
<,mas,3,1654,0.0018137847642079807
de,nada,3,108,0.027777777777777776
<,tt,3,1654,0.0018137847642079807
<,tabn,3,1654,0.0018137847642079807
no,he,3,152,0.019736842105263157
ti,?,3,4,0.75
y,a,3,57,0.05263157894736842
<,sabes,3,1654,0.0018137847642079807
a,dios,3,81,0.037037037037037035
gracias,a,3,21,0.14285714285714285
en,su,3,54,0.05555555555555555
ayer,>,3,4,0.75
fue,>,3,9,0.3333333333333333
tengo,un,3,24,0.125
<,uy,3,1654,0.0018137847642079807
ver,si,3,6,0.5
omggg,>,3,4,0.75
<,hola,3,1654,0.0018137847642079807
<,:0,3,1654,0.0018137847642079807
pero,>,3,71,0.04225352112676056
<,porque,3,1654,0.0018137847642079807
:0,>,3,3,1.0
ai,>,3,6,0.5
<,apoko,3,1654,0.0018137847642079807
se,si,3,56,0.05357142857142857
<,ay,3,1654,0.0018137847642079807
<,del,3,1654,0.0018137847642079807
me,gustan,3,81,0.037037037037037035
<,fuersa,3,1654,0.0018137847642079807
grasias,chika,3,13,0.23076923076923078
<,ayuda,3,1654,0.0018137847642079807
que,fue,3,38,0.07894736842105263
<,o.o,3,1654,0.0018137847642079807
o.o,>,3,3,1.0
ok,>,3,6,0.5
cierto,>,3,4,0.75
q,ya,3,164,0.018292682926829267
no,?,3,152,0.019736842105263157
",",es,3,60,0.05
mmm,>,3,5,0.6
vdd,?,3,14,0.21428571428571427
kreo,>,3,3,1.0
me,dio,3,81,0.037037037037037035
si,es,3,162,0.018518518518518517
no,lo,3,152,0.019736842105263157
de,vdd,3,108,0.027777777777777776
<,deja,3,1654,0.0018137847642079807
<,u.u,3,1654,0.0018137847642079807
jajajjaj,>,3,3,1.0
ya,se,3,96,0.03125
la,vda,3,74,0.04054054054054054
aca,>,3,7,0.42857142857142855
<,mejor,3,1654,0.0018137847642079807
<,eii,3,1654,0.0018137847642079807
<,jajajjaj,3,1654,0.0018137847642079807
jajajajj,>,3,3,1.0
<,este,3,1654,0.0018137847642079807
<,jajajajj,3,1654,0.0018137847642079807
nooombre,>,3,3,1.0
no,kiero,3,152,0.019736842105263157
la,otra,3,74,0.04054054054054054
kiero,>,3,7,0.42857142857142855
mi,fav,3,27,0.1111111111111111
impresion,>,3,3,1.0
y,luego,3,57,0.05263157894736842
<,nooombre,3,1654,0.0018137847642079807
la,impresion,3,74,0.04054054054054054
<,go,3,1654,0.0018137847642079807
y,me,3,57,0.05263157894736842
tengo,>,3,24,0.125
to,bien,3,4,0.75
perdon,>,3,4,0.75
roblox,>,3,4,0.75
examenes,>,3,3,1.0
es,mi,3,67,0.04477611940298507
ya,tiene,3,96,0.03125
veces,>,3,3,1.0
pero,te,3,71,0.04225352112676056
si,te,3,162,0.018518518518518517
<,jajajajaja,3,1654,0.0018137847642079807
espero,q,3,5,0.6
q,dices,3,164,0.018292682926829267
dices,>,3,6,0.5
vale,vale,3,12,0.25
<,al,3,1654,0.0018137847642079807
