Term 1,Term 2,Frequency of Bigram,Frequency of Context (Term 1),Conditional Probability
si,pues,3,148,0.02027027027027027
<,cómo,3,501,0.005988023952095809
ya,con,3,87,0.034482758620689655
no,pues,3,102,0.029411764705882353
crees,que,3,3,1.0
cómputo,?,3,3,1.0
jajaja,bueno,3,76,0.039473684210526314
nada,xd,3,31,0.0967741935483871
pero,pues,3,58,0.05172413793103448
hasta,el,3,9,0.3333333333333333
<,voy,3,501,0.005988023952095809
dijo,que,3,8,0.375
eso,y,3,26,0.11538461538461539
o,si,3,22,0.13636363636363635
",",>,3,187,0.016042780748663103
bueno,jaja,3,31,0.0967741935483871
lo,mismo,3,115,0.02608695652173913
",",ahorita,3,187,0.016042780748663103
ya,>,3,87,0.034482758620689655
en,mi,3,52,0.057692307692307696
era,el,3,6,0.5
",",lo,3,187,0.016042780748663103
es,en,3,71,0.04225352112676056
",",me,3,187,0.016042780748663103
ya,es,3,87,0.034482758620689655
con,eso,3,32,0.09375
a,ernesto,3,147,0.02040816326530612
siento,que,3,3,1.0
comunicación,en,3,3,1.0
algo,>,3,15,0.2
xd,?,3,42,0.07142857142857142
jajaja,va,3,76,0.039473684210526314
a,quedar,3,147,0.02040816326530612
quieres,>,3,24,0.125
jajajaja,>,3,15,0.2
antes,de,3,3,1.0
lo,más,3,115,0.02608695652173913
esme,y,3,5,0.6
yo,>,3,25,0.12
eso,jaja,3,26,0.11538461538461539
si,te,3,148,0.02027027027027027
iba,a,3,3,1.0
sip,está,3,65,0.046153846153846156
los,veo,3,45,0.06666666666666667
<,hay,3,501,0.005988023952095809
<,mmmm,3,501,0.005988023952095809
te,la,3,39,0.07692307692307693
te,vas,3,39,0.07692307692307693
la,maestra,3,88,0.03409090909090909
poner,los,3,8,0.375
a,decir,3,147,0.02040816326530612
<,la,3,501,0.005988023952095809
pasas,la,3,9,0.3333333333333333
pues,>,3,35,0.08571428571428572
que,sí,3,200,0.015
que,dice,3,200,0.015
si,vas,3,148,0.02027027027027027
porque,lo,3,28,0.10714285714285714
que,me,3,200,0.015
y,si,3,86,0.03488372093023256
el,modelo,3,75,0.04
vava,:3,3,17,0.17647058823529413
que,está,3,200,0.015
",",ya,3,187,0.016042780748663103
no,>,3,102,0.029411764705882353
si,jajaja,3,148,0.02027027027027027
si,la,3,148,0.02027027027027027
la,conclusión,3,88,0.03409090909090909
jajaja,si,3,76,0.039473684210526314
esta,bien,3,5,0.6
ya,lo,3,87,0.034482758620689655
yo,",",3,25,0.12
en,qué,3,52,0.057692307692307696
solo,lo,3,22,0.13636363636363635
te,digo,3,39,0.07692307692307693
y,la,3,86,0.03488372093023256
hola,jaja,3,11,0.2727272727272727
jaja,bueno,3,62,0.04838709677419355
ya,jaja,3,87,0.034482758620689655
ya,ya,3,87,0.034482758620689655
a,ya,3,147,0.02040816326530612
y,el,3,86,0.03488372093023256
ya,",",3,87,0.034482758620689655
no,me,3,102,0.029411764705882353
hola,",",3,11,0.2727272727272727
pues,es,3,35,0.08571428571428572
y,también,3,86,0.03488372093023256
jaja,sip,3,62,0.04838709677419355
ser,lo,3,4,0.75
<,holaaa,3,501,0.005988023952095809
<,",",3,501,0.005988023952095809
y,eso,3,86,0.03488372093023256
como,que,3,21,0.14285714285714285
<,vavav,3,501,0.005988023952095809
<,en,3,501,0.005988023952095809
vavav,>,3,5,0.6
por,lo,3,26,0.11538461538461539
de,que,3,153,0.0196078431372549
pero,si,3,58,0.05172413793103448
",",le,3,187,0.016042780748663103
rayos,",",3,5,0.6
hay,que,3,8,0.375
que,hacer,3,200,0.015
no,",",3,102,0.029411764705882353
bien,xd,3,25,0.12
pero,de,3,58,0.05172413793103448
jaja,es,3,62,0.04838709677419355
por,cierto,3,26,0.11538461538461539
a,>,2,147,0.013605442176870748
mira,>,2,5,0.4
el,del,2,75,0.02666666666666667
",",igual,2,187,0.0106951871657754
10,>,2,3,0.6666666666666666
quedó,>,2,7,0.2857142857142857
porque,según,2,28,0.07142857142857142
o,jajajaja,2,22,0.09090909090909091
jajaja,ya,2,76,0.02631578947368421
la,introducción,2,88,0.022727272727272728
se,fue,2,42,0.047619047619047616
ya,salí,2,87,0.022988505747126436
a,jaja,2,147,0.013605442176870748
no,creo,2,102,0.0196078431372549
nada,jaja,2,31,0.06451612903225806
a,hacer,2,147,0.013605442176870748
la,información,2,88,0.022727272727272728
de,web,2,153,0.013071895424836602
que,era,2,200,0.01
jaja,si,2,62,0.03225806451612903
si,podía,2,148,0.013513513513513514
<,según,2,501,0.003992015968063872
ernesto,que,2,10,0.2
sip,voy,2,65,0.03076923076923077
jaja,voy,2,62,0.03225806451612903
que,solo,2,200,0.01
ya,así,2,87,0.022988505747126436
que,yo,2,200,0.01
jaja,solo,2,62,0.03225806451612903
hacer,lo,2,11,0.18181818181818182
mmmm,pues,2,3,0.6666666666666666
dice,que,2,6,0.3333333333333333
los,síntomas,2,45,0.044444444444444446
las,historias,2,29,0.06896551724137931
lo,voy,2,115,0.017391304347826087
a,los,2,147,0.013605442176870748
los,baños,2,45,0.044444444444444446
el,otro,2,75,0.02666666666666667
del,tda,2,32,0.0625
la,clase,2,88,0.022727272727272728
de,una,2,153,0.013071895424836602
tda,",",2,2,1.0
es,para,2,71,0.028169014084507043
quieres,decir,2,24,0.08333333333333333
le,quieres,2,27,0.07407407407407407
del,2do,2,32,0.0625
lo,habías,2,115,0.017391304347826087
la,covarianza,2,88,0.022727272727272728
",",hasta,2,187,0.0106951871657754
ya,ahorita,2,87,0.022988505747126436
ya,se,2,87,0.022988505747126436
con,jisus,2,32,0.0625
lugar,donde,2,3,0.6666666666666666
según,lo,2,11,0.18181818181818182
digo,que,2,6,0.3333333333333333
si,quieras,2,148,0.013513513513513514
no,má,2,102,0.0196078431372549
a,oye,2,147,0.013605442176870748
",",la,2,187,0.0106951871657754
preguntan,>,2,2,1.0
checo,>,2,5,0.4
no,nos,2,102,0.0196078431372549
jajaja,pensé,2,76,0.02631578947368421
ver,qué,2,14,0.14285714285714285
jajaja,a,2,76,0.02631578947368421
vimos,en,2,3,0.6666666666666666
si,sería,2,148,0.013513513513513514
conocer,a,2,2,1.0
podría,ser,2,3,0.6666666666666666
",",para,2,187,0.0106951871657754
consejos,adicionales,2,4,0.5
el,pasillo,2,75,0.02666666666666667
los,resultados,2,45,0.044444444444444446
salón,>,2,5,0.4
de,hpc,2,153,0.013071895424836602
y,en,2,86,0.023255813953488372
dijiste,que,2,3,0.6666666666666666
me,puedes,2,33,0.06060606060606061
eso,jajaja,2,26,0.07692307692307693
jajajaj,a,2,15,0.13333333333333333
vava,>,2,17,0.11764705882352941
si,mejor,2,148,0.013513513513513514
mejor,si,2,6,0.3333333333333333
<,noooo,2,501,0.003992015968063872
información,y,2,5,0.4
y,mira,2,86,0.023255813953488372
casa,jaja,2,3,0.6666666666666666
<,porfa,2,501,0.003992015968063872
deja,veo,2,4,0.5
que,con,2,200,0.01
cómo,lo,2,5,0.4
y,es,2,86,0.023255813953488372
nos,falto,2,18,0.1111111111111111
si,esta,2,148,0.013513513513513514
te,lo,2,39,0.05128205128205128
holaa,:3,2,10,0.2
es,como,2,71,0.028169014084507043
entonces,no,2,24,0.08333333333333333
quieres,ver,2,24,0.08333333333333333
irving,me,2,8,0.25
es,de,2,71,0.028169014084507043
el,último,2,75,0.02666666666666667
tenía,que,2,3,0.6666666666666666
<,jajajajaja,2,501,0.003992015968063872
se,va,2,42,0.047619047619047616
jajajajaja,no,2,4,0.5
es,cierto,2,71,0.028169014084507043
lo,checo,2,115,0.017391304347826087
<,nos,2,501,0.003992015968063872
😅,>,2,2,1.0
te,las,2,39,0.05128205128205128
todo,el,2,8,0.25
pero,es,2,58,0.034482758620689655
ando,en,2,4,0.5
porfa,jajaja,2,6,0.3333333333333333
te,vayas,2,39,0.05128205128205128
que,puse,2,200,0.01
y,de,2,86,0.023255813953488372
a,pasar,2,147,0.013605442176870748
rápido,>,2,2,1.0
<,lo,2,501,0.003992015968063872
de,conocer,2,153,0.013071895424836602
que,va,2,200,0.01
gracias,☺,2,29,0.06896551724137931
la,tengo,2,88,0.022727272727272728
no,maaa,2,102,0.0196078431372549
del,ejercicio,2,32,0.0625
ir,mañana,2,8,0.25
me,sale,2,33,0.06060606060606061
de,esme,2,153,0.013071895424836602
bueno,bueno,2,31,0.06451612903225806
:,>,2,4,0.5
jajaja,es,2,76,0.02631578947368421
foto,de,2,6,0.3333333333333333
vava,gracias,2,17,0.11764705882352941
que,sacamos,2,200,0.01
a,celis,2,147,0.013605442176870748
pero,según,2,58,0.034482758620689655
ves,?,2,3,0.6666666666666666
no,ando,2,102,0.0196078431372549
hice,de,2,3,0.6666666666666666
",",crees,2,187,0.0106951871657754
<,está,2,501,0.003992015968063872
de,mi,2,153,0.013071895424836602
porque,pues,2,28,0.07142857142857142
las,respuestas,2,29,0.06896551724137931
es,la,2,71,0.028169014084507043
hicieron,lo,2,3,0.6666666666666666
ya,ni,2,87,0.022988505747126436
por,el,2,26,0.07692307692307693
es,necesario,2,71,0.028169014084507043
la,actividad,2,88,0.022727272727272728
el,problema,2,75,0.02666666666666667
mañana,no,2,15,0.13333333333333333
ahorita,ya,2,19,0.10526315789473684
sé,",",2,9,0.2222222222222222
mañana,te,2,15,0.13333333333333333
ejercicio,?,2,5,0.4
a,la,2,147,0.013605442176870748
la,escuela,2,88,0.022727272727272728
oye,te,2,66,0.030303030303030304
equipo,>,2,3,0.6666666666666666
en,equipo,2,52,0.038461538461538464
el,dto,2,75,0.02666666666666667
ya,solo,2,87,0.022988505747126436
sip,si,2,65,0.03076923076923077
según,el,2,11,0.18181818181818182
después,del,2,4,0.5
me,dijo,2,33,0.06060606060606061
pues,como,2,35,0.05714285714285714
puse,eso,2,7,0.2857142857142857
vava,jaja,2,17,0.11764705882352941
no,xd,2,102,0.0196078431372549
para,explicarlo,2,29,0.06896551724137931
el,grupo,2,75,0.02666666666666667
se,refiere,2,42,0.047619047619047616
",",solo,2,187,0.0106951871657754
