Term 1,Term 2,Term 3,Trigram Frequency,Context Frequency,Conditional Probability
q,no,he,1,6,0.16666666666666666
no,he,estudiado,1,2,0.5
he,estudiado,|,1,1,1.0
estudiado,|,|,1,1,1.0
|,Si,vdd,1,98,0.01020408163265306
Si,vdd,|,1,1,1.0
vdd,|,|,5,5,1.0
|,|,Tienes,4,1565,0.0025559105431309905
|,Tienes,cuenta,1,4,0.25
Tienes,cuenta,?,1,1,1.0
cuenta,?,|,1,1,1.0
|,|,Create,1,1565,0.0006389776357827476
|,Create,|,1,1,1.0
Create,|,|,1,1,1.0
|,Me,agregas,1,31,0.03225806451612903
Me,agregas,|,1,1,1.0
agregas,|,|,1,1,1.0
|,|,Nose,4,1565,0.0025559105431309905
|,Nose,|,4,4,1.0
Nose,|,|,4,4,1.0
|,|,Pasa,1,1565,0.0006389776357827476
|,Pasa,id,1,1,1.0
Pasa,id,|,1,1,1.0
id,|,|,1,1,1.0
|,|,Avr,5,1565,0.003194888178913738
|,Avr,|,3,5,0.6
Avr,|,|,3,3,1.0
|,|,Yap,2,1565,0.0012779552715654952
|,Yap,|,2,2,1.0
Yap,|,|,2,2,1.0
|,|,Te,11,1565,0.007028753993610224
|,Te,kreo,1,11,0.09090909090909091
Te,kreo,|,1,1,1.0
kreo,|,|,3,3,1.0
|,|,Mañana,5,1565,0.003194888178913738
|,Mañana,busquemos,1,5,0.2
Mañana,busquemos,un,1,1,1.0
busquemos,un,juego,1,1,1.0
un,juego,donde,1,2,0.5
juego,donde,si,1,1,1.0
donde,si,se,1,1,1.0
si,se,vea,1,2,0.5
se,vea,nuestro,1,1,1.0
vea,nuestro,mono,1,1,1.0
nuestro,mono,|,1,1,1.0
mono,|,|,1,1,1.0
|,|,Jajajaja,11,1565,0.007028753993610224
|,Jajajaja,|,10,11,0.9090909090909091
Jajajaja,|,|,10,10,1.0
|,|,Quedamos,1,1565,0.0006389776357827476
|,Quedamos,|,1,1,1.0
Quedamos,|,|,1,1,1.0
|,No,te,3,77,0.03896103896103896
No,te,odiooo,1,3,0.3333333333333333
te,odiooo,|,1,1,1.0
odiooo,|,|,1,1,1.0
|,Me,diverti,1,31,0.03225806451612903
Me,diverti,|,1,1,1.0
diverti,|,|,1,1,1.0
|,|,Gracias,15,1565,0.009584664536741214
|,Gracias,por,1,15,0.06666666666666667
Gracias,por,jugar,1,1,1.0
por,jugar,|,1,1,1.0
jugar,|,|,2,2,1.0
|,Siii,|,28,31,0.9032258064516129
Siii,|,|,28,28,1.0
|,Es,adictivo,1,38,0.02631578947368421
Es,adictivo,|,1,1,1.0
adictivo,|,|,1,1,1.0
|,|,Jajajja,6,1565,0.0038338658146964857
|,Jajajja,|,6,6,1.0
Jajajja,|,|,6,6,1.0
|,|,Pobre,1,1565,0.0006389776357827476
|,Pobre,nana,1,1,1.0
Pobre,nana,|,1,1,1.0
nana,|,|,1,1,1.0
