Term 1,Term 2,Term 3,Trigram Frequency,Context Frequency,Conditional Probability
|,|,Va,8,1565,0.005111821086261981
|,Va,|,6,8,0.75
Va,|,|,6,6,1.0
|,|,Panas,1,1565,0.0006389776357827476
|,Panas,|,1,1,1.0
Panas,|,|,1,1,1.0
|,Ya,|,9,63,0.14285714285714285
Ya,|,|,9,9,1.0
|,Tengo,sueño,1,4,0.25
Tengo,sueño,|,1,1,1.0
sueño,|,|,2,2,1.0
|,|,Jajajajj,3,1565,0.0019169329073482429
|,Jajajajj,|,3,3,1.0
Jajajajj,|,|,3,3,1.0
|,|,Patroclo,1,1565,0.0006389776357827476
|,Patroclo,|,1,1,1.0
Patroclo,|,|,1,1,1.0
|,Q,posser,1,26,0.038461538461538464
Q,posser,|,1,1,1.0
posser,|,|,1,1,1.0
|,|,Como,7,1565,0.0044728434504792336
|,Como,no,1,7,0.14285714285714285
Como,no,te,1,1,1.0
no,te,enteraste,1,2,0.5
te,enteraste,desde,1,1,1.0
enteraste,desde,antes,1,1,1.0
desde,antes,|,1,1,1.0
antes,|,|,1,1,1.0
|,Ya,se,2,63,0.031746031746031744
Ya,se,me,1,2,0.5
se,me,hizo,1,1,1.0
me,hizo,|,1,1,1.0
hizo,|,|,1,1,1.0
|,Y,como,1,38,0.02631578947368421
Y,como,q,1,1,1.0
como,q,gllit,1,1,1.0
q,gllit,|,1,1,1.0
gllit,|,|,1,1,1.0
|,|,Mmm,5,1565,0.003194888178913738
|,Mmm,no,1,5,0.2
Mmm,no,|,1,1,1.0
|,|,Lol,3,1565,0.0019169329073482429
|,Lol,q,2,3,0.6666666666666666
Lol,q,noob,1,2,0.5
q,noob,|,1,1,1.0
noob,|,|,1,1,1.0
|,|,Sacaaaaa,2,1565,0.0012779552715654952
|,Sacaaaaa,|,2,2,1.0
Sacaaaaa,|,|,2,2,1.0
|,Roblox,|,1,2,0.5
Roblox,|,|,1,1,1.0
|,Q,cuteee,1,26,0.038461538461538464
Q,cuteee,|,1,1,1.0
cuteee,|,|,1,1,1.0
|,|,Estot,1,1565,0.0006389776357827476
|,Estot,haciendo,1,1,1.0
Estot,haciendo,padtel,1,1,1.0
haciendo,padtel,|,1,1,1.0
padtel,|,|,1,1,1.0
|,|,Pastel,1,1565,0.0006389776357827476
|,Pastel,|,1,1,1.0
Pastel,|,|,1,1,1.0
|,|,Go,3,1565,0.0019169329073482429
|,Go,|,2,3,0.6666666666666666
Go,|,|,2,2,1.0
|,|,UlisesJuega17,1,1565,0.0006389776357827476
|,UlisesJuega17,-.-,1,1,1.0
UlisesJuega17,-.-,|,1,1,1.0
-.-,|,|,1,1,1.0
|,Esta,feo,1,9,0.1111111111111111
Esta,feo,|,1,1,1.0
feo,|,|,2,2,1.0
|,|,O,13,1565,0.008306709265175719
|,O,sea,5,13,0.38461538461538464
O,sea,ese,1,5,0.2
sea,ese,juego,1,1,1.0
ese,juego,|,1,1,1.0
juego,|,|,1,1,1.0
|,De,eso,1,23,0.043478260869565216
De,eso,",",1,1,1.0
eso,",",nomas,1,1,1.0
",",nomas,pones,1,1,1.0
nomas,pones,a,1,1,1.0
pones,a,tu,1,1,1.0
a,tu,mono,1,1,1.0
tu,mono,a,1,1,1.0
mono,a,bailar,1,1,1.0
a,bailar,kpop,1,1,1.0
bailar,kpop,|,1,1,1.0
kpop,|,|,1,1,1.0
|,Y,ya,3,38,0.07894736842105263
Y,ya,",",1,3,0.3333333333333333
ya,",",no,1,2,0.5
",",no,puedes,1,1,1.0
no,puedes,hacer,1,1,1.0
puedes,hacer,nd,1,1,1.0
hacer,nd,mas,1,1,1.0
nd,mas,|,1,1,1.0
mas,|,|,1,1,1.0
|,No,le,1,77,0.012987012987012988
No,le,saben,1,1,1.0
le,saben,|,1,1,1.0
saben,|,|,1,1,1.0
|,La,vida,1,9,0.1111111111111111
La,vida,de,1,1,1.0
vida,de,un,3,4,0.75
de,un,otaku,3,4,0.75
un,otaku,jajajaj,1,3,0.3333333333333333
otaku,jajajaj,|,1,1,1.0
|,|,Ei,2,1565,0.0012779552715654952
|,Ei,|,2,2,1.0
Ei,|,|,2,2,1.0
|,|,Kedo,1,1565,0.0006389776357827476
|,Kedo,sp,1,1,1.0
Kedo,sp,bn,1,1,1.0
sp,bn,vda,1,1,1.0
bn,vda,|,1,1,1.0
|,|,Los,1,1565,0.0006389776357827476
|,Los,creditos,1,1,1.0
Los,creditos,jajaja,1,1,1.0
creditos,jajaja,|,1,1,1.0
|,|,Tal,4,1565,0.0025559105431309905
|,Tal,vez,4,4,1.0
Tal,vez,|,4,4,1.0
vez,|,|,6,6,1.0
|,Me,kede,1,31,0.03225806451612903
Me,kede,dormida,1,1,1.0
kede,dormida,|,1,1,1.0
dormida,|,|,1,1,1.0
|,|,Jajajqjqj,1,1565,0.0006389776357827476
|,Jajajqjqj,|,1,1,1.0
Jajajqjqj,|,|,1,1,1.0
|,|,Buenos,3,1565,0.0019169329073482429
|,Buenos,dias,3,3,1.0
Buenos,dias,|,2,3,0.6666666666666666
dias,|,|,2,2,1.0
|,|,Que,18,1565,0.011501597444089457
|,Que,|,5,18,0.2777777777777778
Que,|,|,5,5,1.0
|,No,x,1,77,0.012987012987012988
No,x,favor,1,1,1.0
x,favor,|,1,1,1.0
favor,|,|,1,1,1.0
|,|,Queee,1,1565,0.0006389776357827476
|,Queee,|,1,1,1.0
Queee,|,|,1,1,1.0
|,|,Hay,5,1565,0.003194888178913738
|,Hay,q,4,5,0.8
Hay,q,comprobarlo,1,4,0.25
q,comprobarlo,|,1,1,1.0
comprobarlo,|,|,1,1,1.0
|,|,Ekis,2,1565,0.0012779552715654952
|,Ekis,|,2,2,1.0
Ekis,|,|,2,2,1.0
|,|,Sabe,1,1565,0.0006389776357827476
|,Sabe,|,1,1,1.0
Sabe,|,|,1,1,1.0
|,|,Donde,5,1565,0.003194888178913738
|,Donde,los,1,5,0.2
Donde,los,venden,1,1,1.0
los,venden,o,1,1,1.0
venden,o,k,1,1,1.0
o,k,|,1,1,1.0
k,|,|,1,1,1.0
|,Ya,no,4,63,0.06349206349206349
Ya,no,kiero,1,5,0.2
no,kiero,hacer,1,1,1.0
kiero,hacer,tarea,1,1,1.0
hacer,tarea,|,1,2,0.5
|,Que,dijistes,1,18,0.05555555555555555
Que,dijistes,|,1,1,1.0
dijistes,|,|,1,1,1.0
|,Aaaa,|,6,8,0.75
Aaaa,|,|,6,6,1.0
Hay,q,jugar,1,4,0.25
q,jugar,|,1,1,1.0
Lastima,q,debemos,1,2,0.5
q,debemos,tener,1,1,1.0
debemos,tener,15,1,1,1.0
tener,15,dias,1,1,1.0
15,dias,de,1,1,1.0
dias,de,antiguedad,1,1,1.0
de,antiguedad,en,1,1,1.0
antiguedad,en,el,1,1,1.0
en,el,roblo,2,6,0.3333333333333333
el,roblo,|,1,2,0.5
roblo,|,|,1,1,1.0
|,|,Mi,4,1565,0.0025559105431309905
|,Mi,tareaaa,1,4,0.25
Mi,tareaaa,|,1,1,1.0
tareaaa,|,|,1,1,1.0
|,|,Esmuchaaaa,1,1565,0.0006389776357827476
|,Esmuchaaaa,|,1,1,1.0
Esmuchaaaa,|,|,1,1,1.0
|,|,:0,3,1565,0.0019169329073482429
|,:0,|,3,3,1.0
:0,|,|,3,3,1.0
|,Eso,es,1,9,0.1111111111111111
Eso,es,vdd,1,1,1.0
es,vdd,|,1,1,1.0
|,Eso,hago,1,9,0.1111111111111111
Eso,hago,|,1,1,1.0
hago,|,|,1,1,1.0
|,|,Voy,3,1565,0.0019169329073482429
|,Voy,a,2,3,0.6666666666666666
Voy,a,comer,1,2,0.5
a,comer,un,1,1,1.0
comer,un,yogurt,1,1,1.0
un,yogurt,orita,1,1,1.0
yogurt,orita,|,1,1,1.0
orita,|,|,1,1,1.0
|,|,Kisiese,2,1565,0.0012779552715654952
|,Kisiese,|,2,2,1.0
Kisiese,|,|,2,2,1.0
Pero,no,se,4,14,0.2857142857142857
no,se,si,2,9,0.2222222222222222
se,si,sea,1,3,0.3333333333333333
si,sea,prudente,1,1,1.0
sea,prudente,|,1,1,1.0
prudente,|,|,1,1,1.0
|,Voy,|,1,3,0.3333333333333333
Voy,|,|,1,1,1.0
No,me,gustan,1,5,0.2
me,gustan,los,1,3,0.3333333333333333
gustan,los,lacteos,1,1,1.0
los,lacteos,de,1,1,1.0
lacteos,de,fresa,1,1,1.0
de,fresa,|,1,1,1.0
fresa,|,|,1,1,1.0
|,|,Bueno,7,1565,0.0044728434504792336
|,Bueno,|,4,7,0.5714285714285714
Bueno,|,|,4,4,1.0
|,|,Orita,2,1565,0.0012779552715654952
|,Orita,|,1,2,0.5
Orita,|,|,1,1,1.0
|,|,Tenia,1,1565,0.0006389776357827476
|,Tenia,mucho,1,1,1.0
Tenia,mucho,sueño,1,1,1.0
mucho,sueño,u.u,1,1,1.0
sueño,u.u,|,1,1,1.0
|,Que,fue,2,18,0.1111111111111111
Que,fue,|,1,2,0.5
fue,|,|,2,2,1.0
|,|,Mimi,3,1565,0.0019169329073482429
|,Mimi,bn,2,3,0.6666666666666666
Mimi,bn,y,1,2,0.5
bn,y,no,1,1,1.0
y,no,soñe,1,1,1.0
|,|,Avrlo,1,1565,0.0006389776357827476
|,Avrlo,|,1,1,1.0
Avrlo,|,|,1,1,1.0
No,me,convence,1,5,0.2
me,convence,|,1,1,1.0
convence,|,|,1,1,1.0
|,Esta,muy,2,9,0.2222222222222222
Esta,muy,siok,1,2,0.5
muy,siok,la,1,1,1.0
siok,la,historia,1,1,1.0
la,historia,|,1,1,1.0
historia,|,|,1,1,1.0
|,Pero,juguemoslo,1,57,0.017543859649122806
Pero,juguemoslo,avr,1,1,1.0
juguemoslo,avr,q,1,1,1.0
avr,q,tal,1,1,1.0
q,tal,|,1,5,0.2
tal,|,|,2,2,1.0
|,Aun,me,1,4,0.25
Aun,me,falta,1,1,1.0
me,falta,un,1,1,1.0
falta,un,monton,1,1,1.0
un,monton,|,2,3,0.6666666666666666
monton,|,|,2,2,1.0
|,No,m,1,77,0.012987012987012988
No,m,lo,1,1,1.0
m,lo,recuerdes,1,1,1.0
lo,recuerdes,|,1,1,1.0
recuerdes,|,|,1,1,1.0
|,Yo,si,1,18,0.05555555555555555
Yo,si,vi,1,1,1.0
si,vi,|,1,1,1.0
|,Siiii,|,7,9,0.7777777777777778
Siiii,|,|,7,7,1.0
|,No,es,3,77,0.03896103896103896
No,es,real,1,3,0.3333333333333333
es,real,|,1,1,1.0
real,|,|,4,4,1.0
|,|,Yokreo,1,1565,0.0006389776357827476
|,Yokreo,|,1,1,1.0
Yokreo,|,|,1,1,1.0
|,No,se,7,77,0.09090909090909091
No,se,",",1,7,0.14285714285714285
se,",",tal,1,2,0.5
",",tal,vez,1,1,1.0
tal,vez,|,1,1,1.0
|,|,Notekreo,1,1565,0.0006389776357827476
|,Notekreo,|,1,1,1.0
Notekreo,|,|,1,1,1.0
|,|,Chi,7,1565,0.0044728434504792336
|,Chi,|,7,7,1.0
Chi,|,|,7,7,1.0
|,Gracias,neni,1,15,0.06666666666666667
Gracias,neni,|,1,1,1.0
|,Que,caro,1,18,0.05555555555555555
Que,caro,|,1,1,1.0
caro,|,|,2,2,1.0
|,|,Boomer,2,1565,0.0012779552715654952
|,Boomer,|,2,2,1.0
Boomer,|,|,2,2,1.0
|,Si,claro,1,98,0.01020408163265306
Si,claro,|,1,1,1.0
claro,|,|,1,1,1.0
|,Que,miedo,1,18,0.05555555555555555
Que,miedo,|,1,1,1.0
miedo,|,|,2,2,1.0
|,Mi,termo,1,4,0.25
Mi,termo,|,1,1,1.0
termo,|,|,1,1,1.0
|,A,mi,3,29,0.10344827586206896
A,mi,me,2,3,0.6666666666666666
mi,me,dio,1,2,0.5
me,dio,|,1,3,0.3333333333333333
dio,|,|,1,1,1.0
|,|,Mas,3,1565,0.0019169329073482429
|,Mas,|,1,3,0.3333333333333333
Mas,|,|,1,1,1.0
|,Me,mori,1,31,0.03225806451612903
Me,mori,de,1,1,1.0
mori,de,la,1,1,1.0
|,Jajajaja,pq,1,11,0.09090909090909091
Jajajaja,pq,dices,1,1,1.0
dices,eso,?,1,2,0.5
eso,?,|,2,2,1.0
Voy,a,comerrrr,1,2,0.5
a,comerrrr,|,1,1,1.0
comerrrr,|,|,1,1,1.0
|,|,Esperateee,1,1565,0.0006389776357827476
|,Esperateee,|,1,1,1.0
Esperateee,|,|,1,1,1.0
|,Donde,|,1,5,0.2
Donde,|,|,1,1,1.0
|,|,Sincro,1,1565,0.0006389776357827476
|,Sincro,|,1,1,1.0
Sincro,|,|,1,1,1.0
|,|,:),1,1565,0.0006389776357827476
|,:),|,1,1,1.0
|,|,Sobre,2,1565,0.0012779552715654952
|,Sobre,todo,1,2,0.5
Sobre,todo,por,1,1,1.0
todo,por,la,1,1,1.0
por,la,vida,1,1,1.0
la,vida,de,3,6,0.5
un,otaku,|,1,3,0.3333333333333333
otaku,|,|,1,1,1.0
|,Jajajaj,kien,2,44,0.045454545454545456
Jajajaj,kien,sabeee,2,2,1.0
kien,sabeee,|,1,2,0.5
sabeee,|,|,1,1,1.0
|,No,vi,1,77,0.012987012987012988
No,vi,|,1,1,1.0
|,|,Seguro,1,1565,0.0006389776357827476
|,Seguro,me,1,1,1.0
Seguro,me,rechazo,1,1,1.0
me,rechazo,|,1,1,1.0
rechazo,|,|,1,1,1.0
|,|,Jajsjsja,1,1565,0.0006389776357827476
|,Jajsjsja,|,1,1,1.0
Jajsjsja,|,|,1,1,1.0
Hay,q,irse,1,4,0.25
q,irse,x,1,1,1.0
irse,x,el,1,1,1.0
x,el,mal,1,2,0.5
el,mal,|,1,1,1.0
|,Me,recordaste,2,31,0.06451612903225806
Me,recordaste,el,1,2,0.5
recordaste,el,ark,1,1,1.0
el,ark,",",1,1,1.0
ark,",",ves,1,1,1.0
",",ves,q,1,1,1.0
ves,q,eran,1,1,1.0
q,eran,juveniles,1,1,1.0
eran,juveniles,ahi,1,1,1.0
juveniles,ahi,tmb,1,1,1.0
ahi,tmb,|,1,1,1.0
|,Yo,solo,1,18,0.05555555555555555
Yo,solo,kiero,1,1,1.0
solo,kiero,lo,1,1,1.0
kiero,lo,q,1,1,1.0
lo,q,todos,1,6,0.16666666666666666
q,todos,queremos,1,2,0.5
todos,queremos,una,1,1,1.0
queremos,una,cuenta,1,1,1.0
una,cuenta,con,1,1,1.0
cuenta,con,mucho,1,1,1.0
con,mucho,ceros,1,1,1.0
mucho,ceros,|,1,1,1.0
ceros,|,|,1,1,1.0
|,Yo,tmb,2,18,0.1111111111111111
Yo,tmb,|,2,2,1.0
Mimi,bn,pero,1,2,0.5
bn,pero,no,1,1,1.0
Buenos,dias,chika,1,3,0.3333333333333333
dias,chika,|,1,1,1.0
chika,|,|,8,8,1.0
|,Ya,llegue,1,63,0.015873015873015872
Ya,llegue,|,1,1,1.0
llegue,|,|,1,1,1.0
|,|,Tiene,1,1565,0.0006389776357827476
|,Tiene,poco,1,1,1.0
Tiene,poco,|,1,1,1.0
poco,|,|,1,1,1.0
|,Como,1,1,7,0.14285714285714285
Como,1,hora,1,1,1.0
1,hora,|,1,1,1.0
|,Gracias,a,2,15,0.13333333333333333
Gracias,a,dios,2,2,1.0
a,dios,|,3,3,1.0
|,|,Pues,4,1565,0.0025559105431309905
|,Pues,ya,1,4,0.25
Pues,ya,ves,1,1,1.0
ya,ves,TT,1,1,1.0
ves,TT,|,1,1,1.0
|,|,Bien,4,1565,0.0025559105431309905
|,Bien,y,2,4,0.5
Bien,y,a,2,2,1.0
y,a,ti,2,2,1.0
a,ti,?,3,4,0.75
ti,?,|,3,3,1.0
|,Pero,desde,1,57,0.017543859649122806
Pero,desde,q,1,1,1.0
desde,q,jugue,1,1,1.0
q,jugue,la,1,1,1.0
jugue,la,vida,1,1,1.0
un,otaku,",",1,3,0.3333333333333333
otaku,",",ya,1,1,1.0
",",ya,no,1,3,0.3333333333333333
ya,no,le,1,2,0.5
no,le,tengo,1,3,0.3333333333333333
le,tengo,fe,1,1,1.0
tengo,fe,al,1,1,1.0
fe,al,roblox,1,1,1.0
al,roblox,|,1,1,1.0
roblox,|,|,2,2,1.0
|,|,Ooo,4,1565,0.0025559105431309905
|,Ooo,|,4,4,1.0
Ooo,|,|,4,4,1.0
|,|,Deberian,2,1565,0.0012779552715654952
|,Deberian,hacer,1,2,0.5
Deberian,hacer,un,1,1,1.0
hacer,un,juego,1,1,1.0
un,juego,asi,1,2,0.5
juego,asi,|,1,1,1.0
|,Y,jugar,1,38,0.02631578947368421
Y,jugar,roblox,1,1,1.0
jugar,roblox,|,1,1,1.0
|,|,NoOoooOoooo,1,1565,0.0006389776357827476
|,NoOoooOoooo,|,1,1,1.0
NoOoooOoooo,|,|,1,1,1.0
Pero,no,puedo,1,14,0.07142857142857142
no,puedo,|,1,1,1.0
|,|,Ahorita,2,1565,0.0012779552715654952
|,Ahorita,ya,2,2,1.0
Ahorita,ya,acabe,1,2,0.5
ya,acabe,|,1,1,1.0
Pero,ya,tengo,1,4,0.25
ya,tengo,sueño,1,2,0.5
tengo,sueño,|,1,1,1.0
|,|,Jajjaja,1,1565,0.0006389776357827476
|,Jajjaja,|,1,1,1.0
Jajjaja,|,|,1,1,1.0
|,|,Vaaa,1,1565,0.0006389776357827476
|,Vaaa,|,1,1,1.0
Vaaa,|,|,1,1,1.0
|,A,lo,1,29,0.034482758620689655
A,lo,mejor,1,1,1.0
lo,mejor,si,1,1,1.0
mejor,si,|,1,1,1.0
Pero,algo,basico,1,2,0.5
algo,basico,|,1,1,1.0
basico,|,|,1,1,1.0
Uy,no,|,1,3,0.3333333333333333
|,Y,q,2,38,0.05263157894736842
Y,q,tal,1,2,0.5
|,|,Ps,3,1565,0.0019169329073482429
|,Ps,si,1,3,0.3333333333333333
Ps,si,|,1,1,1.0
|,Me,pregunto,1,31,0.03225806451612903
Me,pregunto,si,1,1,1.0
pregunto,si,habra,1,1,1.0
si,habra,de,1,1,1.0
habra,de,esos,1,1,1.0
de,esos,para,1,1,1.0
esos,para,mi,1,1,1.0
para,mi,carrera,1,1,1.0
mi,carrera,|,1,1,1.0
carrera,|,|,1,1,1.0
|,|,Un,4,1565,0.0025559105431309905
|,Un,ojo,1,4,0.25
Un,ojo,de,1,1,1.0
ojo,de,la,1,1,1.0
de,la,cara,1,7,0.14285714285714285
la,cara,|,1,1,1.0
cara,|,|,1,1,1.0
|,|,Ejo,1,1565,0.0006389776357827476
|,Ejo,ji,1,1,1.0
Ejo,ji,|,1,1,1.0
ji,|,|,1,1,1.0
|,|,Foraneos,1,1565,0.0006389776357827476
|,Foraneos,|,1,1,1.0
Foraneos,|,|,1,1,1.0
|,|,Caro,1,1565,0.0006389776357827476
|,Caro,|,1,1,1.0
Caro,|,|,1,1,1.0
|,|,Expensive,1,1565,0.0006389776357827476
|,Expensive,|,1,1,1.0
Expensive,|,|,1,1,1.0
|,|,Cheap,1,1565,0.0006389776357827476
|,Cheap,|,1,1,1.0
Cheap,|,|,1,1,1.0
|,A,si,2,29,0.06896551724137931
A,si,a,2,2,1.0
si,a,si,1,2,0.5
a,si,|,1,1,1.0
|,Ps,botate,1,3,0.3333333333333333
Ps,botate,|,1,1,1.0
botate,|,|,1,1,1.0
|,|,Por,2,1565,0.0012779552715654952
|,Por,eso,1,2,0.5
Por,eso,se,1,1,1.0
eso,se,duermen,1,1,1.0
se,duermen,|,1,1,1.0
duermen,|,|,1,1,1.0
|,Con,dengue,1,4,0.25
Con,dengue,|,1,1,1.0
dengue,|,|,1,1,1.0
|,|,Bendiciones,1,1565,0.0006389776357827476
|,Bendiciones,|,1,1,1.0
Bendiciones,|,|,1,1,1.0
Es,q,embeses,1,11,0.09090909090909091
q,embeses,si,1,1,1.0
embeses,si,se,1,1,1.0
si,se,pasan,1,2,0.5
se,pasan,|,1,1,1.0
pasan,|,|,1,1,1.0
|,|,Onta,1,1565,0.0006389776357827476
|,Onta,?,1,1,1.0
Onta,?,|,2,2,1.0
|,|,Sigo,2,1565,0.0012779552715654952
|,Sigo,en,1,2,0.5
Sigo,en,la,1,1,1.0
en,la,escuelaaaaaa,1,10,0.1
la,escuelaaaaaa,|,1,1,1.0
escuelaaaaaa,|,|,1,1,1.0
|,|,Perfecto,1,1565,0.0006389776357827476
|,Perfecto,|,1,1,1.0
Perfecto,|,|,1,1,1.0
|,Que,me,1,18,0.05555555555555555
Que,me,vas,1,1,1.0
me,vas,a,1,1,1.0
vas,a,regalar,1,1,1.0
a,regalar,?,1,1,1.0
regalar,?,|,1,1,1.0
|,Dame,opciones,1,3,0.3333333333333333
Dame,opciones,|,1,1,1.0
opciones,|,|,1,1,1.0
|,|,Jqjajaj,1,1565,0.0006389776357827476
|,Jqjajaj,me,1,1,1.0
Jqjajaj,me,da,1,1,1.0
me,da,mucha,1,3,0.3333333333333333
da,mucha,risa,1,1,1.0
mucha,risa,cuando,1,1,1.0
risa,cuando,pones,1,1,1.0
cuando,pones,eso,1,1,1.0
pones,eso,|,1,1,1.0
|,|,Botate,1,1565,0.0006389776357827476
|,Botate,|,1,1,1.0
Botate,|,|,1,1,1.0
|,|,Toy,1,1565,0.0006389776357827476
|,Toy,cansaa,1,1,1.0
Toy,cansaa,|,1,1,1.0
cansaa,|,|,2,2,1.0
|,Ya,dormire,2,63,0.031746031746031744
Ya,dormire,|,2,2,1.0
dormire,|,|,2,2,1.0
|,Pero,toy,1,57,0.017543859649122806
Pero,toy,cansaa,1,1,1.0
toy,cansaa,|,1,1,1.0
|,Grasias,chika,2,12,0.16666666666666666
Grasias,chika,|,2,2,1.0
|,Pero,deja,1,57,0.017543859649122806
Pero,deja,mimir,1,1,1.0
deja,mimir,|,1,1,1.0
|,|,Adios,2,1565,0.0012779552715654952
|,Adios,|,2,2,1.0
Adios,|,|,2,2,1.0
|,|,Vere,1,1565,0.0006389776357827476
|,Vere,mi,1,1,1.0
Vere,mi,asmr,1,1,1.0
mi,asmr,artist,1,1,1.0
asmr,artist,favorito,1,1,1.0
artist,favorito,|,1,1,1.0
favorito,|,|,1,1,1.0
|,Es,|,3,38,0.07894736842105263
Es,|,|,3,3,1.0
|,Ya,lo,4,63,0.06349206349206349
Ya,lo,cambie,2,4,0.5
lo,cambie,|,2,2,1.0
cambie,|,|,2,2,1.0
|,|,Ahora,1,1565,0.0006389776357827476
|,Ahora,es,1,1,1.0
Ahora,es,|,1,1,1.0
es,|,|,1,1,1.0
|,|,...,1,1565,0.0006389776357827476
|,...,|,1,1,1.0
...,|,|,1,1,1.0
Es,el,|,1,2,0.5
el,|,|,1,1,1.0
|,|,Mol,1,1565,0.0006389776357827476
|,Mol,|,1,1,1.0
Mol,|,|,1,1,1.0
|,Me,cayo,1,31,0.03225806451612903
Me,cayo,muy,1,1,1.0
cayo,muy,bn,1,1,1.0
muy,bn,|,2,2,1.0
|,|,Nuestro,1,1565,0.0006389776357827476
|,Nuestro,|,1,1,1.0
Nuestro,|,|,1,1,1.0
|,Me,recordo,1,31,0.03225806451612903
Me,recordo,al,1,1,1.0
recordo,al,solo,1,1,1.0
al,solo,de,1,1,1.0
solo,de,yeojun,1,1,1.0
de,yeojun,|,1,1,1.0
yeojun,|,|,1,1,1.0
|,Me,cacheteo,1,31,0.03225806451612903
Me,cacheteo,|,1,1,1.0
cacheteo,|,|,2,2,1.0
|,|,Apoko,3,1565,0.0019169329073482429
|,Apoko,?,1,3,0.3333333333333333
Apoko,?,Nosabia,1,1,1.0
?,Nosabia,|,1,1,1.0
Nosabia,|,|,1,1,1.0
|,|,Nos,2,1565,0.0012779552715654952
|,Nos,cacheteo,1,2,0.5
Nos,cacheteo,|,1,1,1.0
|,|,Mandaselo,1,1565,0.0006389776357827476
|,Mandaselo,jajaj,1,1,1.0
Mandaselo,jajaj,|,1,1,1.0
|,|,100%,1,1565,0.0006389776357827476
|,100%,real,1,1,1.0
100%,real,|,1,1,1.0
|,Pero,esa,1,57,0.017543859649122806
Pero,esa,es,1,1,1.0
esa,es,canon,1,1,1.0
es,canon,|,1,1,1.0
canon,|,|,2,2,1.0
|,|,Ey,2,1565,0.0012779552715654952
|,Ey,ola,1,2,0.5
Ey,ola,|,1,1,1.0
ola,|,|,1,1,1.0
|,|,Akii,1,1565,0.0006389776357827476
|,Akii,|,1,1,1.0
Akii,|,|,1,1,1.0
|,Me,vicie,1,31,0.03225806451612903
Me,vicie,|,1,1,1.0
vicie,|,|,1,1,1.0
|,|,Ocupaba,1,1565,0.0006389776357827476
|,Ocupaba,jugar,1,1,1.0
Ocupaba,jugar,en,1,1,1.0
jugar,en,las,1,1,1.0
en,las,sillas,1,1,1.0
las,sillas,|,1,1,1.0
sillas,|,|,1,1,1.0
Pero,no,pule,1,14,0.07142857142857142
no,pule,|,1,1,1.0
pule,|,|,1,1,1.0
|,Mmm,|,2,5,0.4
Mmm,|,|,2,2,1.0
No,te,creaaas,1,3,0.3333333333333333
te,creaaas,|,1,1,1.0
creaaas,|,|,1,1,1.0
|,Eso,si,5,9,0.5555555555555556
Eso,si,|,5,5,1.0
|,Pero,ese,1,57,0.017543859649122806
Pero,ese,estaba,1,1,1.0
ese,estaba,bn,1,1,1.0
estaba,bn,feo,1,1,1.0
bn,feo,jajajaj,1,2,0.5
feo,jajajaj,|,1,1,1.0
|,|,si,1,1565,0.0006389776357827476
|,si,|,1,1,1.0
|,|,hola,1,1565,0.0006389776357827476
|,hola,estoy,1,1,1.0
hola,estoy,en,1,1,1.0
estoy,en,escuela,1,5,0.2
en,escuela,|,1,1,1.0
escuela,|,|,3,3,1.0
|,|,ya,1,1565,0.0006389776357827476
|,ya,me,1,1,1.0
ya,me,kiero,1,4,0.25
me,kiero,ir,1,1,1.0
kiero,ir,|,1,1,1.0
ir,|,|,1,1,1.0
|,|,Expuse,1,1565,0.0006389776357827476
|,Expuse,nomas,1,1,1.0
Expuse,nomas,|,1,1,1.0
nomas,|,|,2,2,1.0
|,Pero,creo,1,57,0.017543859649122806
Pero,creo,q,1,1,1.0
creo,q,me,1,6,0.16666666666666666
q,me,fue,1,3,0.3333333333333333
me,fue,bien,1,1,1.0
fue,bien,|,1,1,1.0
bien,|,|,7,7,1.0
|,|,Ve,1,1565,0.0006389776357827476
|,Ve,preparando,1,1,1.0
Ve,preparando,mis,1,1,1.0
preparando,mis,robux,1,1,1.0
mis,robux,|,1,1,1.0
robux,|,|,1,1,1.0
|,Estoy,triste,1,2,0.5
Estoy,triste,|,1,1,1.0
triste,|,|,1,1,1.0
|,En,q,1,5,0.2
En,q,|,1,1,1.0
No,se,|,3,7,0.42857142857142855
se,|,|,6,6,1.0
Es,q,no,1,11,0.09090909090909091
q,no,seee,1,6,0.16666666666666666
no,seee,|,1,2,0.5
seee,|,|,3,3,1.0
|,Para,mañana,1,4,0.25
Para,mañana,|,1,1,1.0
|,|,Quiza,1,1565,0.0006389776357827476
|,Quiza,|,1,1,1.0
Quiza,|,|,1,1,1.0
|,Y,ps,1,38,0.02631578947368421
Y,ps,aki,1,1,1.0
ps,aki,andamos,1,1,1.0
aki,andamos,|,1,1,1.0
andamos,|,|,1,1,1.0
Pero,no,le,1,14,0.07142857142857142
no,le,he,1,3,0.3333333333333333
le,he,dicho,1,1,1.0
he,dicho,a,1,1,1.0
dicho,a,nadie,1,1,1.0
a,nadie,|,1,1,1.0
nadie,|,|,1,1,1.0
|,|,X,1,1565,0.0006389776357827476
|,X,eso,1,1,1.0
X,eso,gracias,1,1,1.0
eso,gracias,|,1,1,1.0
gracias,|,|,5,5,1.0
|,Pero,bno,1,57,0.017543859649122806
Pero,bno,al,1,1,1.0
bno,al,menos,1,1,1.0
al,menos,ya,1,1,1.0
menos,ya,estoy,1,1,1.0
ya,estoy,en,2,2,1.0
estoy,en,el,1,5,0.2
