Term 1,Term 2,Term 3,Frequency,Context Frequency,Conditional Probability
>,<,eso,29,12341,0.002349890608540637
<,y,pues,29,991,0.029263370332996974
<,claro,>,29,34,0.8529411764705882
<,y,en,29,991,0.029263370332996974
<,ya,voy,28,583,0.048027444253859346
asi,>,<,28,28,1.0
todo,>,<,28,28,1.0
<,y,el,28,991,0.028254288597376387
prender,>,<,28,28,1.0
avisas,>,<,28,28,1.0
va,a,ser,27,117,0.23076923076923078
me,avisas,>,27,47,0.574468085106383
<,ya,le,27,583,0.04631217838765009
>,<,tambien,27,12341,0.0021878291872619725
<,:,000,27,36,0.75
>,<,los,27,12341,0.0021878291872619725
miedo,>,<,27,27,1.0
no,?,>,27,28,0.9642857142857143
>,<,aun,26,12341,0.00210679847662264
unu,>,<,26,26,1.0
madre,>,<,26,26,1.0
rato,>,<,26,26,1.0
a,lo,mejor,26,49,0.5306122448979592
ª,>,<,26,26,1.0
verga,>,<,26,26,1.0
>,<,bro,26,12341,0.00210679847662264
>,<,ª,26,12341,0.00210679847662264
voy,a,prender,26,214,0.12149532710280374
<,ya,>,26,583,0.044596912521440824
>,<,pos,26,12341,0.00210679847662264
esta,>,<,26,26,1.0
a,ver,>,25,115,0.21739130434782608
>,<,uff,25,12341,0.0020257677659833075
<,mira,>,25,67,0.373134328358209
si,no,te,25,89,0.2808988764044944
figue,>,<,25,25,1.0
prendo,>,<,25,25,1.0
a,>,<,25,25,1.0
a,mi,mamá,25,105,0.23809523809523808
<,que,tal,25,226,0.11061946902654868
>,<,nop,24,12341,0.0019447370553439753
>,<,namas,24,12341,0.0019447370553439753
gracias,bro,>,24,26,0.9230769230769231
>,<,sale,24,12341,0.0019447370553439753
chale,>,<,24,24,1.0
<,ya,se,24,583,0.0411663807890223
me,voy,a,24,36,0.6666666666666666
),>,<,24,24,1.0
<,de,hecho,24,93,0.25806451612903225
<,xddd,>,23,23,1.0
<,si,ntp,23,547,0.04204753199268738
>,<,xddd,23,12341,0.001863706344704643
terraria,>,<,23,23,1.0
<,wenas,>,23,31,0.7419354838709677
mejor,>,<,23,23,1.0
<,ya,estoy,23,583,0.03945111492281304
>,<,luego,22,12341,0.0017826756340653107
<,ª,>,22,26,0.8461538461538461
oye,>,<,22,22,1.0
<,y,como,22,991,0.022199798183652877
>,<,jajajaja,22,12341,0.0017826756340653107
yo,>,<,22,22,1.0
ya,voy,a,22,41,0.5365853658536586
<,si,ya,22,547,0.04021937842778794
>,<,ay,22,12341,0.0017826756340653107
nop,>,<,22,22,1.0
<,lo,que,22,107,0.205607476635514
<,se,me,22,104,0.21153846153846154
