Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
un,examen,2,29,0.06896551724137931
es,lo,2,67,0.029850746268656716
si,le,2,162,0.012345679012345678
da,miedo,2,4,0.5
jajajaj,xd,2,51,0.0392156862745098
pense,q,2,2,1.0
q,ni,2,164,0.012195121951219513
gracias,si,2,21,0.09523809523809523
uu,de,2,6,0.3333333333333333
el,mas,2,43,0.046511627906976744
siiii,tt,2,9,0.2222222222222222
si,ojala,2,162,0.012345679012345678
una,casa,2,16,0.125
tengo,q,2,24,0.08333333333333333
q,estudiar,2,164,0.012195121951219513
q,tengo,2,164,0.012195121951219513
he,probado,2,8,0.25
ekis,no,2,3,0.6666666666666666
ni,la,2,12,0.16666666666666666
sip,ya,2,12,0.16666666666666666
el,examen,2,43,0.046511627906976744
habia,visto,2,7,0.2857142857142857
examen,de,2,8,0.25
y,de,2,56,0.03571428571428571
de,hoy,2,108,0.018518518518518517
tengo,sueño,2,24,0.08333333333333333
lol,q,2,4,0.5
siii,no,2,36,0.05555555555555555
sii,donde,2,18,0.1111111111111111
hacer,tarea,2,5,0.4
el,roblo,2,43,0.046511627906976744
es,vdd,2,67,0.029850746268656716
kisiese,pero,2,3,0.6666666666666666
esta,muy,2,25,0.08
avr,q,2,6,0.3333333333333333
si,claro,2,162,0.012345679012345678
mi,me,2,27,0.07407407407407407
mas,me,2,12,0.16666666666666666
si,sii,2,162,0.012345679012345678
jajajaj,kien,2,51,0.0392156862745098
kien,sabeee,2,6,0.3333333333333333
ya,si,2,96,0.020833333333333332
x,el,2,14,0.14285714285714285
me,recordaste,2,81,0.024691358024691357
si,yo,2,162,0.012345679012345678
q,todos,2,164,0.012195121951219513
yo,tmb,2,31,0.06451612903225806
pues,ya,2,8,0.25
no,y,2,152,0.013157894736842105
ahorita,ya,2,4,0.5
mejor,si,2,12,0.16666666666666666
y,q,2,56,0.03571428571428571
si,jajajja,2,162,0.012345679012345678
poke,jajajaj,2,8,0.25
que,me,2,38,0.05263157894736842
grasias,si,2,13,0.15384615384615385
toy,cansaa,2,4,0.5
ya,dormire,2,96,0.020833333333333332
es,es,2,67,0.029850746268656716
lo,cambie,2,41,0.04878048780487805
cayo,muy,2,2,1.0
sii,no,2,18,0.1111111111111111
si,jajaja,2,162,0.012345679012345678
si,estoy,2,162,0.012345679012345678
en,q,2,54,0.037037037037037035
animo,jajajaj,2,14,0.14285714285714285
para,mañana,2,11,0.18181818181818182
y,ps,2,56,0.03571428571428571
eso,gracias,2,25,0.08
frey,no,2,2,1.0
ya,toy,2,96,0.020833333333333332
go,go,2,5,0.4
si,xd,2,162,0.012345679012345678
asi,en,2,20,0.1
que,le,2,38,0.05263157894736842
dormi,bien,2,3,0.6666666666666666
q,pasa,2,164,0.012195121951219513
no,puelo,2,152,0.013157894736842105
al,rato,2,10,0.2
se,hace,2,56,0.03571428571428571
el,de,2,43,0.046511627906976744
o,algo,2,22,0.09090909090909091
q,le,2,164,0.012195121951219513
q,mal,2,164,0.012195121951219513
me,acuerdo,2,81,0.024691358024691357
meh,que,2,2,1.0
que,bueno,2,38,0.05263157894736842
de,queso,2,108,0.018518518518518517
la,de,2,74,0.02702702702702703
pero,yo,2,71,0.028169014084507043
si,to,2,162,0.012345679012345678
pure,de,2,2,1.0
lo,venden,2,41,0.04878048780487805
mimi,bien,2,5,0.4
no,pq,2,152,0.013157894736842105
o,q,2,22,0.09090909090909091
lo,habia,2,41,0.04878048780487805
pero,x,2,71,0.028169014084507043
pero,tmb,2,71,0.028169014084507043
tt,nada,2,13,0.15384615384615385
vez,jajajaj,2,7,0.2857142857142857
va,la,2,18,0.1111111111111111
