Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
a,quedar,3,146,0.02054794520547945
esme,y,3,5,0.6
yo,>,3,25,0.12
siento,que,3,3,1.0
antes,de,3,3,1.0
esta,bien,3,5,0.6
poner,los,3,7,0.42857142857142855
la,conclusión,3,84,0.03571428571428571
que,dice,3,198,0.015151515151515152
vava,:3,3,17,0.17647058823529413
oye,entonces,3,65,0.046153846153846156
a,ernesto,3,146,0.02054794520547945
dijo,que,3,8,0.375
te,la,3,38,0.07894736842105263
tenemos,que,3,6,0.5
pasas,la,3,9,0.3333333333333333
oye,si,3,65,0.046153846153846156
si,vas,3,146,0.02054794520547945
jajaja,va,3,76,0.039473684210526314
jajajaja,>,3,15,0.2
<,vavava,3,445,0.006741573033707865
jajaja,no,3,76,0.039473684210526314
no,pues,3,100,0.03
con,eso,3,32,0.09375
jajaja,bueno,3,76,0.039473684210526314
en,mi,3,47,0.06382978723404255
que,hacer,3,198,0.015151515151515152
pero,de,3,57,0.05263157894736842
solo,lo,3,22,0.13636363636363635
pero,si,3,57,0.05263157894736842
no,me,3,100,0.03
si,si,3,146,0.02054794520547945
jajaja,si,3,76,0.039473684210526314
y,eso,3,85,0.03529411764705882
bueno,jaja,3,31,0.0967741935483871
iba,a,3,3,1.0
si,jajaja,3,146,0.02054794520547945
mi,casa,3,9,0.3333333333333333
pues,es,3,35,0.08571428571428572
eso,y,3,26,0.11538461538461539
bien,xd,3,25,0.12
ya,lo,3,87,0.034482758620689655
era,el,3,6,0.5
<,cómo,3,445,0.006741573033707865
que,sí,3,198,0.015151515151515152
y,si,3,85,0.03529411764705882
no,creo,3,100,0.03
lo,más,3,115,0.02608695652173913
eso,jaja,3,26,0.11538461538461539
ejercicio,>,3,5,0.6
o,no,3,21,0.14285714285714285
no,jajaja,3,100,0.03
ya,con,3,87,0.034482758620689655
nada,xd,3,31,0.0967741935483871
pero,pues,3,57,0.05263157894736842
o,si,3,21,0.14285714285714285
si,sería,3,146,0.02054794520547945
hasta,el,3,9,0.3333333333333333
de,que,3,150,0.02
como,que,3,21,0.14285714285714285
hay,que,3,8,0.375
ser,lo,3,4,0.75
<,vavav,3,445,0.006741573033707865
vavav,>,3,5,0.6
jaja,sip,3,62,0.04838709677419355
jaja,es,3,62,0.04838709677419355
bueno,>,3,31,0.0967741935483871
y,lo,3,85,0.03529411764705882
si,te,3,146,0.02054794520547945
<,que,3,445,0.006741573033707865
crees,que,3,3,1.0
por,lo,3,25,0.12
te,digo,3,38,0.07894736842105263
digo,que,3,6,0.5
<,mmmm,3,445,0.006741573033707865
en,los,3,47,0.06382978723404255
<,hay,3,445,0.006741573033707865
los,veo,3,44,0.06818181818181818
que,sacamos,2,198,0.010101010101010102
porfa,jajaja,2,6,0.3333333333333333
gracias,☺,2,29,0.06896551724137931
los,anteriores,2,44,0.045454545454545456
<,rayos,2,445,0.0044943820224719105
rayos,bueno,2,5,0.4
bueno,gracias,2,31,0.06451612903225806
que,era,2,198,0.010101010101010102
te,lo,2,38,0.05263157894736842
paso,>,2,6,0.3333333333333333
holaa,:3,2,10,0.2
el,último,2,74,0.02702702702702703
veo,>,2,6,0.3333333333333333
no,nos,2,100,0.02
vimos,en,2,3,0.6666666666666666
<,por,2,445,0.0044943820224719105
te,fue,2,38,0.05263157894736842
o,ya,2,21,0.09523809523809523
ya,está,2,87,0.022988505747126436
bien,entonces,2,25,0.08
las,3,2,29,0.06896551724137931
3,clases,2,7,0.2857142857142857
la,mañana,2,84,0.023809523809523808
mañana,>,2,15,0.13333333333333333
jaja,oye,2,62,0.03225806451612903
oye,estaba,2,65,0.03076923076923077
estaba,checando,2,3,0.6666666666666666
datos,y,2,7,0.2857142857142857
la,metieras,2,84,0.023809523809523808
metieras,en,2,2,1.0
ya,así,2,87,0.022988505747126436
6,>,2,2,1.0
<,mira,2,445,0.0044943820224719105
nada,mas,2,31,0.06451612903225806
si,este,2,146,0.0136986301369863
este,bien,2,8,0.25
bien,jajaja,2,25,0.08
no,tienes,2,100,0.02
mismo,pero,2,3,0.6666666666666666
pero,sin,2,57,0.03508771929824561
nada,solo,2,31,0.06451612903225806
el,grupo,2,74,0.02702702702702703
en,equipo,2,47,0.0425531914893617
equipo,>,2,3,0.6666666666666666
que,hicimos,2,198,0.010101010101010102
es,solo,2,67,0.029850746268656716
jaja,porque,2,62,0.03225806451612903
el,ejercicio,2,74,0.02702702702702703
que,dejó,2,198,0.010101010101010102
y,esto,2,85,0.023529411764705882
los,ejercicios,2,44,0.045454545454545456
yap,>,2,2,1.0
holaa,sip,2,10,0.2
sip,es,2,65,0.03076923076923077
es,este,2,67,0.029850746268656716
<,para,2,445,0.0044943820224719105
sería,como,2,8,0.25
que,voy,2,198,0.010101010101010102
medio,raro,2,2,1.0
pero,igual,2,57,0.03508771929824561
maestra,que,2,3,0.6666666666666666
a,tu,2,146,0.0136986301369863
ya,nos,2,87,0.022988505747126436
nos,vamos,2,18,0.1111111111111111
y,yo,2,85,0.023529411764705882
que,tengo,2,198,0.010101010101010102
los,2,2,44,0.045454545454545456
del,2do,2,32,0.0625
el,otro,2,74,0.02702702702702703
