Mensaje Tokenizado
._.xD
Jugamos al rato ?
Y como descargo más stickers xd
Si ese ya lo tengo
Pero no hay más ?
A lo mejor y hoy matamos al dragón tu y yo 👀
Bambi gracias
Ok xd
Ahorita ya
Espera
Por cierto
Vas a querer una armadura de Dios ?
Con todos los tipos de protecciones
Ok espera
No sé habilitaron
Estoy editando el save
Ya voy
Aunque yo creo que también ya voy a comer
Yo creo
Carga
Aseguro que si estén las armaduras
Y procedo a comer
Metete
No estoy en dicord
SI ESTAN AHHH
Si ntp
Ya las hice de netherite
Si
Tu equipo está en el shulker negro
Sigueme
Denada
Ya nombre a mi espada para dominarlos a todos
Solo una cosa
No te acerques a pigberto
Cómo la armadura tiene espinas
Si te ataca te le va a hacer daño
Si vas a tradear con el usa está
O una pieza de armadura de oro
Mira sigueme
Esa no tiene espinas
Somos dioses xd
Bueno procedo a comer
Si
Ahhh
Y te tengo unas elytras
Luego te enseño a usarlas
Claro
Ya estoy
Me uno a discord
Pero voy a estar muteado entre ratos porque siguen comiendo y no quiero molestar
Se me actualizo el discord perdón
Claro
A ver si mañana continuamos
Claro
Estuvo epiléptico xd
Ya tenemos más huevos de tortuga
Y en el nether en
-1611 1926
Va a ser mi castillo
Deja como y ya
O ya se
Me conecto y lo dejo afk con los huevos
Claro
Yo creo que ya no
Ya me cansé de picar
Yo creo que mañana
Mejor descanso un rato
Claro
Ahorita jugamos
Deja lavo los trastes y ya
Claro no te preocupes
Será mañana
Si no te preocupes
Quieres jugar ?
Claro
Todavía tienes el portal 2 ?
Si un ratito
Y a ver si nos pasamos otro rato al Minecraft
Claro
Llamada por discord ?
Te voy llamando en lo que termino una cosa
E we
El lunes vas a matar al wither xd
Ya hice una zona
Tu solito xd
Te prepare la zona
Esta facil xd
Una vez le agarras el truco xd
A lo mucho gastas una manzana encantada y ya
Hice una jaula de bedrock
No podrá escapar
Ahhh y terribles noticias
Misterio ya no esta
"Desapareció junto con 2 de mis caballos esqueletos , una champivaca y los pollos"
No lo se
Pero ya me ha pasado
Así perdí a un burro
XD
Ya casi estoy
Listo
Es que estaba viendo lo de los ets
Es que no sabia si llenar un campo o no pero ya me explicaron que pedo
Y ya hice el preregistro
Jajaja si
Es que ando en computadora y deje la barra activa xd
claro
E we perdon pero en esta semana y la otra no voy a jugar mucho porque son lo de los ets y estoy estudiando xd
Claro
Mira seguro ya pase una que fue integral con 8
El problema es que no se si de f2 tambien porque como estaba tambien en tutorias el profe nunca se comunico y no se que pedo
We me la daba este pedro
Hasta le mandamos correo xd
Y nunca contesto
Chale
Gracias
Me dieron ban en facebook xd
Por 7 dias
Po ir un meme de matarile al maricon
No me arrepiento de nada xd
Me aumentaron el ban a un mes por una publicación de hace un año ._.
Me confundí
Ese era de hace un año xd
Por lo del 9/11
Es que estaba viendo mi actividad
XD
Pero aún así me voy a hacer otra cuenta por si acaso
Pinche messenger se apendejo con 2 cuentas
Oye bro
Un consejo
Sabes que no soy de hacer trampa
Pero no se si hacerla mañana
Para ya pasar las materias
Mmmmm ok ok
Gracias men
Gracias
Chingo a su madre el examen
Nos saco a la mayoria
La pagina
No se
Parece que la pagina de la dems soporta solo 3 usuarios simultaneos xd
Esperar para el ets con musica de jojo's es estar a otro nivel xd
Son los openings xd
Son la de arriba y abajo de la verde xd
Bambi
Todos los problemas de f2 y bien
Anoteme una baja señor
Osea que si pase f2 : v
Ya el viernes jugamos
Ese día ya no hago ets
Chale
Sábado ?
Bambi
Y que tal la memoria ?
Ufff
Me sorprende que le sigues sacando provecho
Ufff
Si pude con diferencial
Me ayudó javier
Pero estuvo bien culero
Que pinche estrés me enfermo
Y ya se me pasó
Bueno si
El de integral
Solo poner datos y pasada en tutorias
Y contestar lo más posible
Que tal si de 8 pasa a 10
: v
Yo creo que ya mañana jugamos
Ya quiero distraerme
YA
AHHHG
Cierto se me olvido
Y soy libre
Gracias
Ahora a esperar resultados
E we
Cómo recomendas que sea la base del castillo en el nether
Circular
O
Hexagonal
Wenas
Bambi
Voy a intentar hacer el hexagono
Si no me queda
Será circular xd
7 en f2
Más de 6 es vanidad
Ufff
Ufff
Valió verga f3
Saque 0
Voy a pedir revisión
Ojala
Si espera
Ya
Que quieres jugar ?
Mmmm
Como que juego ?
Seria asi
No se me ocurre nada xd
Cual xd
Cierto
Le seguimos ?
Nadamas deja lo instalo xd
Mmmm de que es ?
Y cuanto cuesta ?
Ok deja checo
Me sale que cuesta 150 xd
Cierto xd
Ya en 8 minutos el the forest
Si
Y yo me voy a bañar xd
Listo
Te veo en discord
Ya voy
Ya voy
Ya estoy prendiendo mi compu
Hoy quieres jugar ?
Si no te preocupes
Claro
Si men no te preocupes
Claro
Entonces quieres jugar ?
Claro
Oye le segumis al the forest ?
Porque hay un pequeño problemita
En nuestra partida
Como le preste a mi hermano la compu pues jugo en esa partida
Y se hizo otro final
Y consiguio un objeto roto
Seguimos en esa o hacemos otra ?
Bambi
Es que el objeto que consiguio
Es un artefacto
Que puede alejar o acercar a los canivales
Por lo mientras voy a comer
Y ya me avisas cuando juguemos va
Va
Ya estoy
Claro
Wenas
Hoy quieres jugar ?
Ok
Sera mañana
Ufff men
He hecho varios cambios en minecraft
En ves del almacenamiento
Es campo de concentracion xd
Ahi movi a los aldeanos
Maso
Voy a tener a 5 de cada profesion
Los cuales unos si ocupan hornos
Pues se les puede añadir
Cual es el problema
Jajajaja
Hoy quieres jugar
Para mostrarte el avance
Uffff
Si quieres
Te lo muestro
Y ya
Claro
O mejor mañana
Sirve que me ayudas en unas cosas
E we
Le estoy llenando de botones la casa a yosadac xd
Pero todo
Hasta los arboles
Simon son de piedra
Si no reclama nada en un rato mañana te muestro
Es mas
Hasta vas ayudar
Va
Oye y no quieres ser LuisAlfredo92 en xbox
Porque hay un cambio de gametag gratis
Porque no se si de conflicto tu gametag con el bug de comandos
Ok
Esperemos y sirva el bug de comando
Quieres jugar ?
Ok
Mañana ?
Lunes ?
Wenas
Quieres jugar ?
Que quieres jugar ?
Si quieres
Ya estoy en discord xd
Wenas
Quieres jugar algo ?
Lo que gustes
Si gustas
Va
Ok
Ya voy
Sure
Perdon men
Ya ni pude hoy xd
Ya mañana sera
Wenas
Quieres jugar algo ?
Ok
E men
Me pienso comprar el fall guys
No gustas que te preste la biblioteca para que lo juegues también ?
Vavava
Luego la pongo
Te aviso
El mío es
dern965
Melapelasprro1
O
Melapelasprro1 +
Xddd
Es como también se la presto a este Arturo y a Donovan por eso la contraseña para recordarles que me la pelan
Ohh
Deja checo
Es que no tengo el steam guard
Se me olvidó instalarlo cuando fórmate el teléfono
Si
Pero espera ahorita te aviso cuando ya
Ya me acordé
Que cambie la contraseña hace poco
Es
Putoelquelolea69
Así si me hackean ya les dije puto : v
Dck6c
Simón
Sure :D
Neta ?
Seguro será porque tenemos varios iguales : v
Seguro hay que reiniciar
En el celular nadamás
Ahorita estoy actualizando fornite en epic
Deja checo
: v
Si te aparece el halo es que lo hiciste bien xd
Si
Eso lo debes hacer tú
En tu pc
Con mi cuenta
Ya cheque y si aparece tu pc pero no tu usuario
A ver intenta otra vez
Oye
Me dice Ricardo
Que quitaron fall guys del préstamo familiar
Xgx6p
Aja
Vavava
Sure
Si ntp
Ni yo me acordaba del compartí la biblioteca
Ahora solo falta comprarme el fall guys para ser la paloma castrosa que espera al final cuando falta uno para clasificar
Ya me cerraron desde hace mucho
Oye men suerte en tu examen
Quieres jugar hoy men ?
Y me cuentas como te fue
Ok
Wenas
Quieres jugar hoy ?
Bambi
Te parece a las 5
Se me antoja jugar the escapist 2
Si ntp
Desde 0
Quiero aprender a jugarlo bien
A que gora puedes
Yo desde ya xd
Claro
Provecho
Ahhh
Bueno no digo nada
Ya lo veras : u
Esta re piola el fall guys
Si
Estoy aun nivel de completar la paloma
Y seguir con mi objetivo
Su derrota
Las del pase
Otras las compras con las monedas que te dan
El pase es gratuito
Si puedes comprar monedas
Aunque te dan algunas jugando y en el pase
Yo me compre las 2 expansiones que sacaron ._.
Me dieron 6 skins y 10 mil monedas
Estas
El primero 99 y el segundo 54
Pues en sus colaboraciones van a poner skins de los juegos
Por ejemplo tf2
Hasta de kfc
Clash Royale
Y el 4 de octubre sale la segunda temporada
Dijeron que esta orientado a lo medieval
Y como obtuviste tu fondo en steam
Ntp
Ahhh
Provecho
Entonces quieres jugar ?
Claro
Juas
Juas
Esperame
Deja como ahora yo y ya
Denada
Ya
Te veo en discord
Oye
Ya voy a poner tu cuenta para jugar pacman
Codigo
Listo
Nadamas es activar lo de permitirn en este equipo no ?
Listo entonces
Gracias
e we
el among us tiene crossplay entre pc y android
Y en android esta gratias
No lo se : v
Ok ok
Pero si jugamos
O si quieres de una vez
Aun no tengo hambre
Ok
Un nombre para el servidor de discord
Porque lo voy a modificar
Ya no va a ser exclusivo de minecraft
Si
Pero haciendo el servidor de discord
Para que juguemos varios al rato
XD
Vete uniendo y me dices que tal va quedando
Es el mensaje oculto
En realidd es Club Buenas a Todos
Jajajaja
Gracias
Un emoji que describa terraria
Anda
Si
Pero espera
Creo que quedo mamalon
Que paso ?
No
Uno es de texto
Y otro de voz
Ntp
Ya vamos a jugar unos cuantos
Di le a ricardo si gusta unirse
Espero y cuando juguemos tenga internet
Porque se me fue desde anoche a las 10 y aún no llega
Ya
Ahorita mi mamá lo va a reportar
Invita a Ricardo a ver si gusta jugar
Claro
Para eso es
No es necesario que me preguntes
Men sigo sin internet
Y ya casi no tengo datos
Si ya no te envío mensaje es porque se me acabaron y no tenga internet
Ahí les explicas a los demás
Ya llegó el internet
Lo curioso
Es que me puse el guantelete de Thanos que compre en la de endgame
Y volvió
Jajajjaa
Estaba a punto de
Vas a jugar hoy ?
Ok
ntp
Sure
Hoy juegas ?
Ok ntp
Hoy quieres jugar men ?
Sure
Chale ya atacaron a mi clan en 2b2 t : c duro la base 3 meses chale
eiii
Si sabes de 2b2 t no ?
Es el servidor de minecraft mas antiguo y mas violento
Un servidor donde reina la anarquia
Consegui mi rango para saltarme la cola para unirme hace 2 meses
Pero me uni hace año y medio
Es interesante el servidor
Lo mas probable es que no tarden en filtrar coordenadas de otro sitio importante
Si
Imaginate que dure como el monasterio
7 años
Entonces jalas ?
Among us
Apenas somos 2
O jugamos tu y yo otra cosa
Y eso ?
Que tal un the escapist
Mejor otro dia
Igual ya ando un poco cansado
Claro
WEEEEEEEEEEEEEEEEEE
JUGUE CON UNA VTUBER
AAAAAAAAAAAAAAAAHHHHHHHHHHHHH
AAAAAAAAAHHHHHHHHHH
Ahorita estoy clipeando donde la fune XD
VAAA
Y gane la ultima partida XD
Y si nos hacemos vtubers ?
Tu furro y yo otaku culiao
Es neta
Quieres jugar hoy men ?
Ok ntp
Sera mañana si puedes
Quieres jugar algo men ?
No se
Que gustas jugar ?
Un the forest te parece ?
Ok
Te veo en discord
Quieres jugar hoy men ?
Ya estoy mejorando en terraria XD
Claro ntp
En dónde te quedaste ?
Aahhhhhhh
Awbo
Felicidades bro
Ya te alcanzaré el otro año xd
Ntp men
